id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude,models_agree,final_topic,final_subtopic,decision_method,needs_human_review,arb_primary_topic,arb_primary_subtopic,arb_primary_conf,arb_secondary_topic,arb_secondary_subtopic,arb_is_dual_modal,arb_decision,arb_conf_tier,secondary_primary_topic,secondary_primary_subtopic,is_dual_modal,confidence_tier,question,primary_survey
32,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Asks about crime in the area around the school (crime is primary), with relevance to school location/impact (Schools).",Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Geography'}]","Question asks about crime in the school neighborhood, combining crime assessment with school-related geography.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"Thinking about the neighborhood where YOUR SCHOOL is located, would you strongly agree, agree, disagree, or strongly disagree with the following...? There is a lot of crime in the neighborhood where YOU go to SCHOOL.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
33,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Asks about students' sense of safety at school, a Schools subtopic; safety concerns also relate to Crime.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures perceived safety at school, which is a key indicator in crime victimization and school safety surveys.",False,Social,Schools,auto_dual_modal,False,Social,Schools,0.9,Social,Crime,True,auto_dual_modal,high,Social,Crime,True,high,"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? You feel safe in your school.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
34,Social,Schools,0.8,"[{'topic': 'Social', 'subtopic': 'Crime'}]",Concerns observation of substance use within the school/virtual school context—primarily a school environment question with crime/drug implications.,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about observation of substance abuse by students at school, which relates to school crime and safety concerns.",False,Social,Schools,pick_gpt5mini,False,Social,Schools,0.85,,,False,pick_gpt5mini,medium,,,False,medium,"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were attending virtual school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
35,Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Crime'}]",Asks about the availability of illegal drugs at school (school environment primary) and relates to criminal activity/substance availability.,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question assesses availability of illegal drugs and alcohol at school, which is a school crime and safety indicator.",False,Social,Schools,pick_gpt5mini,False,Social,Schools,0.9,,,False,pick_gpt5mini,medium,,,False,medium,"Is it possible for students to get any of the following while at school… Alcoholic beverages? Marijuana, also known as pot or weed? Heroin or prescription painkillers illegally obtained without a prescription, such as Codeine, Percocet, or fentanyl? These are also known as opoids. Other prescription drugs illegally obtained without a prescription, such as Xanax, Ritalin, or Adderall? Other illegal drugs, such as cocaine, uppers, or crystal meth?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
36,Social,Schools,0.8,"[{'topic': 'Social', 'subtopic': 'Crime'}]",Similar to prior items about witnessing substance use during in-person or virtual school—focused on the school context with crime/drug relevance.,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about observation of substance abuse by students at school or during virtual classes, relating to school crime and safety.",False,Social,Crime,pick_haiku45,False,Social,Crime,0.85,,,False,pick_haiku45,medium,,,False,medium,"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were at school [IF E_ATTENDSCHOOL_VIRTUAL = “Yes” FILL: or during virtual classes]?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
37,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Asks about involvement in physical fights at school, a form of victimization/violent incidents (Crime) occurring in the school context.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question directly asks about physical fights at school, which is a violent crime indicator in school crime surveys.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"During this school year, have you been in one or more physical fights at school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
38,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Quantifies frequency of physical fights at school—counts of violent incidents fit Crime, with relevance to Schools.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks for frequency of physical fights at school, providing quantitative data on violent incidents in school crime surveys.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"During this school year, how many times have you been in a physical fight at school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
39,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]",Asks about bullying behaviors (including cyber and in-person) occurring among students—primarily a Schools issue that overlaps with Crime (harassment/victimization).,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question comprehensively measures bullying victimization at school across multiple forms (verbal, social, physical, exclusion), which is a key school crime and safety indicator.",False,Social,Schools,auto_dual_modal,False,Social,Schools,0.9,Social,Crime,True,auto_dual_modal,high,Social,Crime,True,high,"Now I have some questions about what students do during school that make you feel bad or are hurtful to you. These could occur in person or using technologies, such as a phone, the Internet, or social media. We often refer to this as being bullied. During this school year, has any student bullied you? That is, has another student... Made fun of you, called you names, or insulted you, in a hurtful way? Spread rumors about you or tried to make others dislike you? Purposely shared your private information, photos, or videos in a hurtful way? Threatened you with harm? Pushed you, shoved you, tripped you, or spit on you? Tried to make you do things you did want to do, for example, give them money or other things? Excluded you from activities, social media, or other communications to hurt you? Destroyed your property on purpose? ",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
0,Social,School Enrollment,0.96,"[{'topic': 'Social', 'subtopic': 'Education'}]","Question asks about in-person attendance at a public or private school this school year, which directly concerns school enrollment and mode of attendance.",Social,School Enrollment,0.98,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question directly asks about in-person school attendance during the school year, which is a core measure of school enrollment status.",True,Social,School Enrollment,agreement,False,,,,,,,,,,,,,At any time during this school year did you attend a public or private school in person?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
1,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}]",Asking whether the respondent received online/virtual schooling provided by a school pertains to enrollment and the modality of schooling.,Social,School Enrollment,0.97,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'COVID-19 Data'}]","Question addresses online/virtual schooling as an alternative form of school enrollment, with COVID-19 context relevant to educational delivery methods.",True,Social,School Enrollment,agreement,False,,,,,,,,,,,,,At any time during this school year did you receive any online schooling or virtual learning provided by a public or private school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
2,Social,School Enrollment,0.96,"[{'topic': 'Social', 'subtopic': 'Education'}]","This question asks whether the respondent was homeschooled instead of being enrolled in public/private school, which is a school enrollment status.",Social,School Enrollment,0.98,"[{'topic': 'Social', 'subtopic': 'Education'}]","Question asks about homeschooling as an alternative to traditional school enrollment, directly measuring educational enrollment status.",True,Social,School Enrollment,agreement,False,,,,,,,,,,,,,At any time during this school year did you receive homeschooling instead of being enrolled in a public or private school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
3,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}]",Attending a homeschool cooperative concerns the respondent's schooling arrangement and enrollment modality.,Social,School Enrollment,0.96,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question addresses in-person attendance at homeschool cooperatives, which represents a specific form of educational enrollment and school participation.",True,Social,School Enrollment,agreement,False,,,,,,,,,,,,,"At any time during this school year did you attend a homeschool cooperative, or co-op, in person?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
4,Social,COVID-19 Data,0.92,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Education'}]","The question asks whether the change in schooling modality was due to the Coronavirus pandemic, directly relating to COVID-19 impacts on schooling/enrollment.",Social,COVID-19 Data,0.96,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question explicitly asks about pandemic-related reasons for alternative schooling arrangements, making COVID-19 the primary focus while school enrollment is secondary.",True,Social,COVID-19 Data,agreement,False,,,,,,,,,,,,,Did you receive [online schooling or virtual learning/homeschooling instead of being enrolled in a public or private school/online schooling or virtual learning or homeschooling instead of being enrolled in a public or private school] because of the Coronavirus pandemic?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
5,Social,Education,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Crime'}]","This asks for reasons families chose homeschooling (education quality, safety, bullying, religion, illness), which relates to educational choices and enrollment decisions; bullying/safety ties to crime/school environment.",Social,Education,0.92,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Crime'}, {'topic': 'Social', 'subtopic': 'Disability'}]","Question explores multiple reasons for homeschooling decisions including safety/bullying (crime), school quality, health conditions (disability), and religious reasons, making it primarily about educational choice factors.",True,Social,Education,agreement,False,,,,,,,,,,,,,"For this next question, I’m going to read a list of 7 possible reasons that some families decided to homeschool rather than enroll in public or private school. You can say yes to more than one reason but please choose ones that best fit the reason or reasons your family decided to homeschool. Because of your experiences with bullying? Because of concerns about the school environment, such as safety, drugs, or negative peer pressure? Because you or your parents were not happy with the quality of the education you were receiving? Because of religious reasons? Because of a physical, mental, or developmental condition? Because of an illness that prevents you from attending school? Because of your county's decision to close the schools? Because of a different reason? What was the different reason?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
6,Social,School Enrollment,0.92,"[{'topic': 'Social', 'subtopic': 'Moving'}]",Counting how many different schools were attended this year is a measure of school enrollment history and may relate to moves or transfers.,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about the number of schools attended, which measures school enrollment patterns and mobility during the school year.",True,Social,School Enrollment,agreement,False,,,,,,,,,,,,,How many different schools have you attended this school year?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
7,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}]",Asking what grade the respondent would have been enrolled in if in public/private school pertains to grade-level enrollment status.,Social,School Enrollment,0.94,"[{'topic': 'Demographic', 'subtopic': 'Age'}]","Question asks about grade level for homeschooled students, which is a measure of educational enrollment status and grade progression.",True,Social,School Enrollment,agreement,False,,,,,,,,,,,,,"During the time you were homeschooled this school year, what grade would you have been enrolled in if you were in a public or private school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
8,Social,School Enrollment,0.93,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Demographic', 'subtopic': 'Age'}]",Asking the respondent's current grade is a direct indicator of school enrollment and educational level; grade is also closely linked to respondent age.,Demographic,Age,0.97,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question directly asks for current grade level, which is a standard demographic measure of age/educational stage for school-age populations.",False,Demographic,Age,auto_dual_modal,False,Demographic,Age,0.97,Social,School Enrollment,True,auto_dual_modal,high,Social,School Enrollment,True,high,What grade are you in?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
9,Social,School Enrollment,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]",The month the current school year began concerns the timing of the respondent's school enrollment and school-year scheduling.,Social,School Enrollment,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about school year start date, which relates to school enrollment timing and educational calendar information.",True,Social,School Enrollment,agreement,False,,,,,,,,,,,,,In what month did your current school year begin?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
40,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Asks about occurrences of bullying (victimization) during the school year, which is a crime/victimization measure in a school context.",Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question directly asks about bullying victimization, which is a form of crime/interpersonal harm occurring in a school setting.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"During this school year, how many days were you bullied?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
41,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Measures frequency of hurtful acts by other students (victimization), a crime-related count within a school setting.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures frequency of bullying incidents, which is a crime victimization metric in the school context.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"In that one day, how many times would you say other students did those things that made you feel bad or were hurtful to you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
42,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Assesses perceived risk of repeat victimization (bullying), which pertains to crime/victimization and fear in a school context.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question assesses victim perception of future bullying risk, a component of crime victimization surveys.",True,Social,Crime,agreement,False,,,,,,,,,,,,,Did you think the bullying would happen again?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
43,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Determines whether multiple people perpetrated the bullying, directly related to victimization/crime dynamics in school.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question determines whether bullying involved multiple perpetrators, relevant to crime victimization characterization.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"Thinking about the [time/times] you were bullied this school year, did more than one person do [this/these things] to you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
44,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Asks about perpetrators' coordination (acting alone vs. as a group), a characteristic of the bullying/victimization incident.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question characterizes perpetrator coordination in bullying incidents, a crime victimization detail.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"Did these people act alone, together as a team, or both?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
45,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Asks about physical size/power differences between victim and perpetrator(s), relevant to the dynamics of bullying (victimization).",Social,Crime,0.94,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question assesses power differential (physical strength) between victim and perpetrator, a key bullying/crime characteristic.",True,Social,Crime,agreement,False,,,,,,,,,,,,,"Now I have some additional questions about the time [another student/other students] {behavior1}, {behavior2}, and {behaviorx…}. Thinking about the [person/people] who did [this/these things] to you this school year, [Was this person/Were any of these people/Was anyone in the group] physically bigger or stronger than you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
46,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Inquires whether perpetrator(s) were more popular, indicating social power imbalance relevant to bullying/victimization in schools.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures social power differential in bullying, a defining characteristic of bullying as a crime.",True,Social,Crime,agreement,False,,,,,,,,,,,,,[Was this person/Were any of these people/Was anyone in the group] more popular than you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
47,Social,Crime,0.85,"[{'topic': 'Economic', 'subtopic': 'Income'}, {'topic': 'Social', 'subtopic': 'Education'}]","Asks about relative economic advantage of perpetrators (having more money), a factor in social power dynamics around bullying (victimization).",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Question assesses economic power differential between bullying victim and perpetrator.,True,Social,Crime,agreement,False,,,,,,,,,,,,,[Did this person/Did any of these people/Did anyone in the group] have more money than you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
48,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Assesses perpetrators' social influence over peers (reputation/peer perception), which contributes to bullying dynamics and victimization in school.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures social influence power as a bullying characteristic, relevant to crime victimization assessment.",True,Social,Crime,agreement,False,,,,,,,,,,,,,[Did this person/Did any of these people/Did anyone in the group] have the ability to influence what other students think of you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
49,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","General question about other forms of power imbalance between perpetrators and victim, bearing on bullying/victimization in the school setting.",Social,Crime,0.91,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question captures additional power differentials in bullying relationships, a component of crime victimization characterization.",True,Social,Crime,agreement,False,,,,,,,,,,,,,[Did this person/Did any of these people/Did anyone in the group] have more power than you in another way?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
50,Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Crime'}, {'topic': 'Social', 'subtopic': 'Children'}]","The question concerns power imbalance in school bullying situations, which is most directly a school/social issue; it also relates to criminal/victimization context and child behavior.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question addresses bullying dynamics and power imbalances in a school crime victimization context, directly related to crime and school-based incidents.",False,Social,Crime,dual_modal,False,Social,Crime,0.88,Social,Schools,True,dual_modal,medium,Social,Schools,True,medium,In what other way [did that student/did any of those students] have more power than you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
51,Demographic,Relationship,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Children'}]","The item asks about the respondent's relationship to the bully (e.g., sibling, dating partner, fellow student), which maps to the Demographic 'Relationship' concept and is within a school/child context.",Social,Crime,0.9,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question investigates the relationship between bullying victim and perpetrator in a school crime context, combining crime victimization with relationship classification.",False,Demographic,Relationship,auto_dual_modal,False,Demographic,Relationship,0.9,Social,Crime,True,auto_dual_modal,high,Social,Crime,True,high,What was your relationship to the student when they bullied you? Were they… Your brother or sister? Your boyfriend or girlfreind at the time? Your ex-boyfriend or ex-girlfreind at the time? Another student from school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
52,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","The question asks where bullying occurred across school locations (including online), making 'Schools' the primary subtopic with relevance to victimization (crime) and online/Internet context.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Geography'}]","Question documents the location of bullying incidents within and around school premises, essential for crime victimization surveys and school safety assessment.",False,Social,Crime,auto_dual_modal,False,Social,Crime,0.93,Social,Schools,True,auto_dual_modal,high,Social,Schools,True,high,"Still thinking about the [time/times] that you were bullied, where did the bullying occur? Did it occur… Read answer categories, mark all that apply  1 = In a classroom at school?  2 = In a hallway or stairwell at school?  3 = In a bathroom or locker room at school?  4 = In a gymnasium or weight room at school?  5 = In a cafeteria or lunchroom at school?  6 = Outside on school grounds?  7 = On the way to or from school such as on a school bus or at a bus stop?  8 = Online or by text?  9 = Somewhere else? – Specify",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
53,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","This follow-up asks for another school-related location of bullying, so 'Schools' is primary and it remains within the bullying/victimization (crime) domain.",Social,Crime,0.91,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Follow-up question specifying additional locations where bullying occurred, continuing the crime victimization location documentation.",False,Social,Crime,auto_dual_modal,False,Social,Crime,0.91,Social,Schools,True,auto_dual_modal,high,Social,Schools,True,high,Where is the other place where bullying occurred?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
54,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","The item asks whether the student reported bullying to school staff, which is a school-focused (reporting) question tied to victimization/crime response.",Social,Crime,0.88,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question assesses victim reporting behavior to school authorities, relevant to crime victimization and school safety response patterns.",False,Social,Schools,pick_gpt5mini,False,Social,Schools,0.92,,,False,pick_gpt5mini,medium,,,False,medium,Did you tell a teacher or some other adult at school about being bullied?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
55,Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Medical Care'}, {'topic': 'Social', 'subtopic': 'Household'}]","The question assesses negative effects of school bullying on schoolwork and personal health/relationships, so it's centered on schools with secondary relevance to health impacts and family/relationship effects.",Social,Crime,0.89,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question measures the impact of bullying victimization on academic performance, social relationships, and health, assessing consequences of crime victimization.",False,Social,Crime,pick_haiku45,False,Social,Crime,0.88,,,False,pick_haiku45,medium,,,False,medium,"This school year, how much has bullying had a NEGATIVE effect on: Your school work? Your relationships with friends or family? How you feel about yourself? Your physical health for example, caused injuries, gave your headaches or stomach aches? ",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
