pair_id,survey,survey_text,acs_text,final_barrier_code,final_feasibility,final_barrier_code_oa,final_feasibility_oa,final_barrier_code_an,final_feasibility_an,final_barrier_code_go,final_feasibility_go
CPS_1052,CPS,"I am going to read you a list of five race categories. You may choose one or more races. For this survey, Hispanic origin is not a race. (Are/Is) (NAME/you) White; Black or African American; American Indian or Alaska Native; Asian; OR Native Hawaiian or Other Pacific Islander?",What is Person 2’s race?,RS.1,F2,RS.1,F2,NHB.0,F1,,
CPS_1067,CPS,"Even though you don’t know (name's/your) exact birthdate, what is your best guess as to how old (you/he/she) (was/were) on (your/his/her) last birthday?",What is Person 2’s age and what is Person 2’s date of birth?,CC.2,F2,CC.2,F2,RS.1,F1,,
CPS_1068,CPS,"Even though you don’t know (name's/your) exact birthdate, what is your best guess as to how old (you/he/she) (was/were) on (your/his/her) last birthday?",What is Person 3’s age and what is Person 3’s date of birth?,CC.2,F2,CC.2,F2,RS.1,F1,,
CPS_1084,CPS,What (are / were) (your/his/her) usual activities or duties at this job?,What are your usual activities or duties at this job?,NHB.0,F1,NHB.0,F1,TC.2,F2,,
CPS_1089,CPS,What (are / were) (your/his/her) usual activities or duties at this job?,What are your usual activities or duties at this job?,NHB.0,F1,NHB.0,F1,TC.2,F2,,
FOODAPS_0140,FOODAPS,"Has NAME ever served on active duty in the U.S. Armed Forces, Reserves, or National Guard?",When did this person serve on active duty in the U.S. Armed Forces?,CC.2,F3,CC.2,F3,RS.1,F1,,
FOODAPS_0165,FOODAPS,What is NAME’s relationship to you?,What is Person 2’s name? How is this person related to Person 1?,RS.3,F2,RS.3,F2,PC.1,F1,,
FOODAPS_0326,FOODAPS,"How many hours do you normally work for pay, including paid sick time and paid leave time?",How many hours do you usually work per week at this rate?,MC.3,F2,MC.3,F2,CC.4,F1,,
FOODAPS_0330,FOODAPS,"How many hours do you normally work for pay, including paid sick time and paid leave time?",What is your best estimate of the number of hours per week you usually work at this rate?,CC.4,F2,CC.4,F2,MC.3,F1,,
FOODAPS_0404,FOODAPS,What is the level of school that you attend when not on a school break?,"At any time IN THE LAST 3 MONTHS, has this person attended school or college?",CC.2,F3,CC.2,F3,TC.2,F2,,
FOODAPS_0446,FOODAPS,Please verify or enter correct age.,What is Person 1’s age and what is Person 1’s date of birth?,PM.2,F2,PM.2,F2,RS.1,F1,,
FOODAPS_0485,FOODAPS,"How much did you receive [Response from I1a] in wages, salary, commissions, bonuses, or tips from all jobs before taxes and other deductions?",What is your best estimate of your hourly rate of pay?,CC.2,F3,CC.2,F3,RS.1,F2,,
FOODAPS_0590,FOODAPS,How many dollars were put on your EBT card the last time you received [FILL IN STATE SNAP NAME] benefits?,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",CC.2,F2,CC.2,F2,RS.1,F1,,
FOODAPS_0608,FOODAPS,"Do you/Does anyone in your household own or lease a vehicle, like a car or truck?","How many automobiles, vans, and trucks of one-ton capacity or less are kept at home for use by members of this household?",CC.1,F2,CC.1,F2,RS.1,F1,,
