pair_id,survey,survey_q_id,survey_text,acs_q_id,acs_text,final_L1,final_barrier_code,subtopic,confidence
CPS_0500,CPS,CPS_22,Who (are / is) (name of person talking about) related to?,ACS_21,What is Person 1’s name? How is this person related to Person 1?,CC,CC.2,Relationship,HIGH
CPS_0504,CPS,CPS_23,Is (name's/your) parent a member of this household?,ACS_26,What is Person 2’s name? How is this person related to Person 1?,CC,CC.2,Relationship,MODERATE
CPS_0506,CPS,CPS_24,"(Are / Is) (name of person talking about) (your / mother's name) biological, step, or adopted child?",ACS_21,What is Person 1’s name? How is this person related to Person 1?,CC,CC.2,Relationship,HIGH
CPS_0507,CPS,CPS_24,"(Are / Is) (name of person talking about) (your / mother's name) biological, step, or adopted child?",ACS_26,What is Person 2’s name? How is this person related to Person 1?,CC,CC.2,Relationship,HIGH
CPS_0508,CPS,CPS_24,"(Are / Is) (name of person talking about) (your / mother's name) biological, step, or adopted child?",ACS_31,What is Person 3’s name? How is this person related to Person 1?,CC,CC.2,Relationship,MODERATE
CPS_0509,CPS,CPS_25,Is (name's/your) other parent a member of this household?,ACS_21,What is Person 1’s name? How is this person related to Person 1?,CC,CC.2,Relationship,HIGH
CPS_0511,CPS,CPS_25,Is (name's/your) other parent a member of this household?,ACS_31,What is Person 3’s name? How is this person related to Person 1?,CC,CC.2,Relationship,MODERATE
CPS_0513,CPS,CPS_26,"(Are / Is) (name of person talking about) (your / father's name) biological, step, or adopted child?",ACS_26,What is Person 2’s name? How is this person related to Person 1?,CC,CC.2,Relationship,MODERATE
CPS_0514,CPS,CPS_26,"(Are / Is) (name of person talking about) (your / father's name) biological, step, or adopted child?",ACS_31,What is Person 3’s name? How is this person related to Person 1?,CC,CC.2,Relationship,MODERATE
CPS_0515,CPS,CPS_27,"(REF_FNAME ^REF_LNAME’s) parent is also (name of person talking about)’s parent, is that correct?",ACS_21,What is Person 1’s name? How is this person related to Person 1?,CC,CC.2,Relationship,HIGH
CPS_0516,CPS,CPS_27,"(REF_FNAME ^REF_LNAME’s) parent is also (name of person talking about)’s parent, is that correct?",ACS_26,What is Person 2’s name? How is this person related to Person 1?,CC,CC.2,Relationship,HIGH
CPS_0517,CPS,CPS_27,"(REF_FNAME ^REF_LNAME’s) parent is also (name of person talking about)’s parent, is that correct?",ACS_31,What is Person 3’s name? How is this person related to Person 1?,CC,CC.2,Relationship,HIGH
CPS_0571,CPS,CPS_67,(Do / Does) (name/you) have a disability that prevents (you/he/she) from accepting any kind of work during the next six months?,ACS_89,"Because of a physical, mental, or emotional condition, does this person have difficulty doing errands alone such as visiting a doctor’s office or shopping?",CC,CC.1,Disability,MODERATE
CPS_0670,CPS,CPS_94,Does (your/his/her) disability prevent (you/he/she) from accepting any kind of work during the next six months?,ACS_86,"Because of a physical, mental, or emotional condition, does this person have serious difficulty concentrating, remembering, or making decisions",CC,CC.1,Disability,HIGH
CPS_0673,CPS,CPS_94,Does (your/his/her) disability prevent (you/he/she) from accepting any kind of work during the next six months?,ACS_89,"Because of a physical, mental, or emotional condition, does this person have difficulty doing errands alone such as visiting a doctor’s office or shopping?",CC,CC.1,Disability,MODERATE
CPS_0676,CPS,CPS_95,Does (your/his/her) disability prevent (you/he/she) from accepting any kind of work during the next six months?,ACS_86,"Because of a physical, mental, or emotional condition, does this person have serious difficulty concentrating, remembering, or making decisions",CC,CC.1,Disability,HIGH
CPS_0733,CPS,CPS_133,Does (your/his/her) disability prevent (you/he/she) from accepting any kind of work during the next six months?,ACS_89,"Because of a physical, mental, or emotional condition, does this person have difficulty doing errands alone such as visiting a doctor’s office or shopping?",CC,CC.2,Disability,MODERATE
CPS_0866,CPS,CPS_117,"At any time (THE WEEK BEFORE LAST/LAST WEEK), did (you/NAME) telework or work at home for pay?",ACS_104,At what location did this person work LAST WEEK?,CC,CC.2,Commute/Commuting,HIGH
CPS_0927,CPS,CPS_255,"(EXCLUDING overtime pay, tips and commissions) what is (your/his/her) hourly rate of pay on (this job/ (your/his/her) MAIN job)?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.4,Earnings,HIGH
CPS_0928,CPS,CPS_255,"(EXCLUDING overtime pay, tips and commissions) what is (your/his/her) hourly rate of pay on (this job/ (your/his/her) MAIN job)?",ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.4,Earnings,HIGH
CPS_0932,CPS,CPS_256,What is your best estimate of (your/his/her) hourly rate of pay?,ACS_3,"EXCLUDING overtime pay, tips and commissions what is your hourly rate of pay on [this/your main] job?",CC,CC.4,Earnings,HIGH
CPS_0933,CPS,CPS_256,What is your best estimate of (your/his/her) hourly rate of pay?,ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.4,Earnings,HIGH
CPS_0951,CPS,CPS_265,I have estimated (your/his/her) usual WEEKLY earnings (as/for (your/his/her) main job as) (AMOUNT) before taxes or other deductions. Does that sound correct?,ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.2,Earnings,HIGH
CPS_0952,CPS,CPS_265,I have estimated (your/his/her) usual WEEKLY earnings (as/for (your/his/her) main job as) (AMOUNT) before taxes or other deductions. Does that sound correct?,ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.2,Earnings,HIGH
CPS_0963,CPS,CPS_267,"What is (name's/your) hourly rate of pay on this job, excluding overtime pay, tips or commissions?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.4,Earnings,HIGH
CPS_0964,CPS,CPS_267,"What is (name's/your) hourly rate of pay on this job, excluding overtime pay, tips or commissions?",ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.4,Earnings,HIGH
CPS_0981,CPS,CPS_272,"Then, including overtime pay, tips and commissions, what are (name/you) usual WEEKLY earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.1,Earnings,MODERATE
CPS_0982,CPS,CPS_272,"Then, including overtime pay, tips and commissions, what are (name/you) usual WEEKLY earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.1,Earnings,MODERATE
CPS_0986,CPS,CPS_273,"I have estimated (your/his/her) total WEEKLY earnings (as/ for (your/his/her) main job, as (entry in ERNX2) WEEKLY before taxes or other deductions. Does that sound correct?",ACS_3,"EXCLUDING overtime pay, tips and commissions what is your hourly rate of pay on [this/your main] job?",CC,CC.4,Earnings,MODERATE
CPS_0987,CPS,CPS_273,"I have estimated (your/his/her) total WEEKLY earnings (as/ for (your/his/her) main job, as (entry in ERNX2) WEEKLY before taxes or other deductions. Does that sound correct?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.2,Earnings,LOW
CPS_0988,CPS,CPS_273,"I have estimated (your/his/her) total WEEKLY earnings (as/ for (your/his/her) main job, as (entry in ERNX2) WEEKLY before taxes or other deductions. Does that sound correct?",ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.2,Earnings,MODERATE
CPS_0992,CPS,CPS_274,"(Including overtime pay, tips and commissions,) What are (name's/your) usual weekly earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_3,"EXCLUDING overtime pay, tips and commissions what is your hourly rate of pay on [this/your main] job?",CC,CC.4,Earnings,MODERATE
CPS_0993,CPS,CPS_274,"(Including overtime pay, tips and commissions,) What are (name's/your) usual weekly earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.1,Earnings,MODERATE
CPS_0999,CPS,CPS_275,"(Including overtime pay, tips and commissions,) what are (name's/your) usual twice monthly earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.2,Earnings,MODERATE
CPS_1000,CPS,CPS_275,"(Including overtime pay, tips and commissions,) what are (name's/your) usual twice monthly earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.1,Earnings,MODERATE
CPS_1006,CPS,CPS_276,"(Including overtime pay, tips and commissions,) what are (name's/your) usual monthly earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.1,Earnings,MODERATE
CPS_1011,CPS,CPS_277,"(Including overtime pay, tips and commissions,) what are (name's/your) usual annual earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.2,Earnings,MODERATE
CPS_1022,CPS,CPS_279,What is your best estimate of (your/his/her) usual (weekly/bi-weekly/monthly/annual) earnings before taxes or other deductions?,ACS_3,"EXCLUDING overtime pay, tips and commissions what is your hourly rate of pay on [this/your main] job?",CC,CC.4,Earnings,HIGH
CPS_1023,CPS,CPS_279,What is your best estimate of (your/his/her) usual (weekly/bi-weekly/monthly/annual) earnings before taxes or other deductions?,ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.2,Earnings,HIGH
CPS_1024,CPS,CPS_279,What is your best estimate of (your/his/her) usual (weekly/bi-weekly/monthly/annual) earnings before taxes or other deductions?,ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.2,Earnings,HIGH
CPS_1029,CPS,CPS_280,I have recorded (your/his/her) total earnings (for (your/his/her) (as/main job ) (ERNAMT) (weekly/bi-weekly/monthly/annually) before taxes or other deductions. Is that correct?,ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.2,Earnings,MODERATE
CPS_1030,CPS,CPS_280,I have recorded (your/his/her) total earnings (for (your/his/her) (as/main job ) (ERNAMT) (weekly/bi-weekly/monthly/annually) before taxes or other deductions. Is that correct?,ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.2,Earnings,HIGH
CPS_1038,CPS,CPS_281,"(Including overtime pay, tips and commissions,), what are (your/his/her) usual (weekly/bi-weekly/monthly/annual) earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_9,"What is your best estimate of how much you usually earn weekly, JUST in overtime pay, tips, or commissions, before taxes or other deductions?",CC,CC.4,Earnings,MODERATE
CPS_1047,CPS,CPS_284,"(EXCLUDING overtime pay, tips and commissions) what is (your/his/her) hourly rate of pay on (this job/ (your/his/her) MAIN) job?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,CC,CC.4,Earnings,HIGH
CPS_1048,CPS,CPS_284,"(EXCLUDING overtime pay, tips and commissions) what is (your/his/her) hourly rate of pay on (this job/ (your/his/her) MAIN) job?",ACS_5,What is your best estimate of your hourly rate of pay?,CC,CC.4,Earnings,HIGH
CPS_1059,CPS,CPS_48,Which of the following Native Hawaiian or Other Pacific Islander groups (are/is) (you/he/she)? Native Hawaiian; Guamanian or Chamorro; Samoan; or another Pacific Islander group?,ACS_35,What is Person 3’s race?,CC,CC.4,Race,MODERATE
CPS_1067,CPS,CPS_30,"Even though you don’t know (name's/your) exact birthdate, what is your best guess as to how old (you/he/she) (was/were) on (your/his/her) last birthday?",ACS_28,What is Person 2’s age and what is Person 2’s date of birth?,CC,CC.2,Age,LOW
CPS_1068,CPS,CPS_30,"Even though you don’t know (name's/your) exact birthdate, what is your best guess as to how old (you/he/she) (was/were) on (your/his/her) last birthday?",ACS_33,What is Person 3’s age and what is Person 3’s date of birth?,CC,CC.2,Age,LOW
CPS_1070,CPS,CPS_38,"People can get a High School diploma in a variety of ways, such as graduating from High School or by getting a GED or other equivalent. How did (name/you) get (your/his/her) High School diploma?",ACS_75,What is the highest degree or level of school this person has COMPLETED?,CC,CC.2,Education,HIGH
CPS_0018,CPS,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_10,How many hours do you usually work per week at this rate?,MC,MC.3,"Hours/Week, Weeks/Year",MODERATE
CPS_0019,CPS,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_11,How many hours do you usually work per week at this rate?,MC,MC.3,"Hours/Week, Weeks/Year",MODERATE
CPS_0865,CPS,CPS_299,"Because of a physical, mental, or emotional condition, (do you/does NAME/does anyone/do any of the new household members) have difficulty doing errands alone such as visiting a doctor's office or shopping?",ACS_89,"Because of a physical, mental, or emotional condition, does this person have difficulty doing errands alone such as visiting a doctor’s office or shopping?",MC,MC.4,Disability,HIGH
CPS_1077,CPS,CPS_184,Last month (name/you) (was/were) reported as (a/an) (input.IO1OCC) and (your/his/her) usual activities were (input.IO1DT1 8500.IO1DT2). Is this an accurate description of (your/his/her) current job?,ACS_0,What are your usual activities or duties at this job?,MC,MC.3,Occupation,HIGH
CPS_0002,CPS,CPS_10,Are there any other persons 15 years old or older now living or staying there? (Who have not been listed.) How many other?,ACS_19,How many people are living or staying at this address?,PC,PC.3,Population,HIGH
CPS_0004,CPS,CPS_11,I have listed . . . READ NAMES Have I missed any babies or small children?,ACS_19,How many people are living or staying at this address?,PC,PC.3,Population,LOW
CPS_0104,CPS,CPS_128,Is the job from which (name/you) (are / is) on layoff a full time job of 35 hours or more per week?,ACS_6,How many hours do you usually work per week at this rate?,PC,PC.1,"Hours/Week, Weeks/Year",MODERATE
CPS_0370,CPS,CPS_127,"We would like to have that in weeks, IF possible, exactly how many weeks had (name/you) been on layoff?",ACS_109,"LAST WEEK, was this person on layoff from a job?",RS,RS.1,Employment Status,HIGH
CPS_0518,CPS,CPS_33,Enter line number of spouse of (name of person talking about),ACS_21,What is Person 1’s name? How is this person related to Person 1?,RS,RS.1,Relationship,MODERATE
CPS_0519,CPS,CPS_33,Enter line number of spouse of (name of person talking about),ACS_26,What is Person 2’s name? How is this person related to Person 1?,RS,RS.1,Relationship,MODERATE
CPS_0520,CPS,CPS_33,Enter line number of spouse of (name of person talking about),ACS_31,What is Person 3’s name? How is this person related to Person 1?,RS,RS.1,Relationship,HIGH
CPS_0947,CPS,CPS_261,"Do not ask: Usual (weekly/hourly/monthly/annual) earnings in overtime pay, tips or commissions recorded as: (ERNOTO) Is this entry correct?",ACS_8,"How much do you usually receive JUST in overtime pay, tips or commissions, before taxes or other deductions?",RS,RS.1,Earnings,HIGH
CPS_0977,CPS,CPS_270,"How much (do/does) (name/you) usually earn hourly just in overtime pay, tips or commissions?",ACS_8,"How much do you usually receive JUST in overtime pay, tips or commissions, before taxes or other deductions?",RS,RS.1,Earnings,MODERATE
CPS_0994,CPS,CPS_274,"(Including overtime pay, tips and commissions,) What are (name's/your) usual weekly earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_5,What is your best estimate of your hourly rate of pay?,RS,RS.1,Earnings,HIGH
CPS_1005,CPS,CPS_276,"(Including overtime pay, tips and commissions,) what are (name's/your) usual monthly earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,RS,RS.1,Earnings,HIGH
CPS_1012,CPS,CPS_277,"(Including overtime pay, tips and commissions,) what are (name's/your) usual annual earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_5,What is your best estimate of your hourly rate of pay?,RS,RS.1,Earnings,HIGH
CPS_1017,CPS,CPS_278,"(Including overtime pay, tips and commissions,) what are (name's/your) usual bi weekly earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,RS,RS.1,Earnings,HIGH
CPS_1018,CPS,CPS_278,"(Including overtime pay, tips and commissions,) what are (name's/your) usual bi weekly earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_5,What is your best estimate of your hourly rate of pay?,RS,RS.1,Earnings,HIGH
CPS_1035,CPS,CPS_281,"(Including overtime pay, tips and commissions,), what are (your/his/her) usual (weekly/bi-weekly/monthly/annual) earnings on (this job/ (your/his/her) MAIN), before taxes or other deductions?",ACS_4,What is your hourly rate of pay on [this/ your main] job?,RS,RS.1,Earnings,HIGH
CPS_1052,CPS,CPS_46,"I am going to read you a list of five race categories. You may choose one or more races. For this survey, Hispanic origin is not a race. (Are/Is) (NAME/you) White; Black or African American; American Indian or Alaska Native; Asian; OR Native Hawaiian or Other Pacific Islander?",ACS_30,What is Person 2’s race?,RS,RS.1,Race,LOW
CPS_1054,CPS,CPS_47,"Which of the following Asian groups (are/is) (you/he/she)? Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, or another Asian group?",ACS_25,What is Person 1’s race?,RS,RS.2,Race,MODERATE
CPS_1056,CPS,CPS_47,"Which of the following Asian groups (are/is) (you/he/she)? Asian Indian, Chinese, Filipino, Japanese, Korean, Vietnamese, or another Asian group?",ACS_35,What is Person 3’s race?,RS,RS.2,Race,MODERATE
CPS_1065,CPS,CPS_29,"As of last week, that would make (name/you) (approximately (AGE)/ less than 1 / over 98 / AGE) years old. Is that correct?",ACS_33,What is Person 3’s age and what is Person 3’s date of birth?,RS,RS.1,Age,HIGH
CPS_0008,CPS,CPS_31,"Since our last interview, has any household member had any changes in his or her Marital Status?",ACS_90,What is this person’s marital status?,TC,TC.2,Marital Status,HIGH
CPS_0009,CPS,CPS_31,"Since our last interview, has any household member had any changes in his or her Marital Status?",ACS_91,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,TC,TC.1,Marital Status,HIGH
CPS_0023,CPS,CPS_105,How many hours per week (do/does) (name/you) USUALLY work at (your/his/her) (job?/ main job?),ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0031,CPS,CPS_106,How many hours per week (do/does) (you/he/she) USUALLY work at (your/his/her) other (job/ jobs)?,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC,TC.1,"Hours/Week, Weeks/Year",LOW
CPS_0039,CPS,CPS_107,(Do / Does) (you/he/she) usually work 35 hours or more per week (at (your/his/her) job/in the family business/ at all (your/his/her) jobs combined)?,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0047,CPS,CPS_111,"Now I have some questions about the exact number of hours (name/you) worked (THE WEEK BEFORE LAST/LAST WEEK). (THE WEEK BEFORE LAST/LAST WEEK), did (you/he/she) lose or take off any hours from ((his/her) MAIN job/work), for ANY reason such as illness, slack work, vacation, or holiday?",ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC,TC.1,"Hours/Week, Weeks/Year",LOW
CPS_0072,CPS,CPS_115,"(LAST WEEK/THE WEEK BEFORE LAST), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) (job?/MAIN job?)?",ACS_6,How many hours do you usually work per week at this rate?,TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0073,CPS,CPS_115,"(LAST WEEK/THE WEEK BEFORE LAST), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) (job?/MAIN job?)?",ACS_7,How many hours do you usually work per week at this rate?,TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0074,CPS,CPS_115,"(LAST WEEK/THE WEEK BEFORE LAST), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) (job?/MAIN job?)?",ACS_10,How many hours do you usually work per week at this rate?,TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0075,CPS,CPS_115,"(LAST WEEK/THE WEEK BEFORE LAST), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) (job?/MAIN job?)?",ACS_11,How many hours do you usually work per week at this rate?,TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0076,CPS,CPS_115,"(LAST WEEK/THE WEEK BEFORE LAST), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) (job?/MAIN job?)?",ACS_12,What is your best estimate of the number of hours per week you usually work at this rate?,TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0079,CPS,CPS_115,"(LAST WEEK/THE WEEK BEFORE LAST), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) (job?/MAIN job?)?",ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0081,CPS,CPS_116,"(THE WEEK BEFORE LAST/LAST WEEK), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) other (job/ jobs?)?",ACS_7,How many hours do you usually work per week at this rate?,TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0083,CPS,CPS_116,"(THE WEEK BEFORE LAST/LAST WEEK), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) other (job/ jobs?)?",ACS_11,How many hours do you usually work per week at this rate?,TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0084,CPS,CPS_116,"(THE WEEK BEFORE LAST/LAST WEEK), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) other (job/ jobs?)?",ACS_12,What is your best estimate of the number of hours per week you usually work at this rate?,TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0087,CPS,CPS_116,"(THE WEEK BEFORE LAST/LAST WEEK), how many hours did ( you/he/she) ACTUALLY work at (your/his/her) other (job/ jobs?)?",ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0127,CPS,CPS_257,How many hours (do/does) (name/you) usually work per week at this rate?,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC,TC.2,"Hours/Week, Weeks/Year",HIGH
CPS_0135,CPS,CPS_258,How many hours (do/does) (name/you) usually work per week at this rate?,ACS_117,"During the PAST 12 MONTHS, in the WEEKS WORKED, how many hours did this person usually work each WEEK?",TC,TC.2,"Hours/Week, Weeks/Year",HIGH
