pair_id,survey,final_L1,final_barrier_code,final_feasibility,confidence,L1_agree_oa_an,feas_agree_oa_an,has_google,final_barrier_code_oa,final_feasibility_oa,L1_oa,final_barrier_code_an,final_feasibility_an,L1_an,final_barrier_code_go,final_feasibility_go,L1_go
CPS_0032,CPS,RS,RS.1,F1,HIGH,True,True,True,RS.1,F1,RS,RS.1,F1,RS,RS.1,F1,RS
CPS_0033,CPS,RS,RS.1,F1,HIGH,True,True,True,RS.1,F1,RS,RS.1,F1,RS,RS.1,F1,RS
CPS_0034,CPS,RS,RS.1,F1,HIGH,True,True,True,RS.1,F1,RS,RS.1,F1,RS,RS.1,F1,RS
CPS_0035,CPS,RS,RS.1,F1,HIGH,True,True,True,RS.1,F1,RS,RS.1,F1,RS,RS.1,F1,RS
CPS_0036,CPS,RS,RS.1,F1,HIGH,True,True,True,RS.1,F1,RS,RS.1,F1,RS,RS.1,F1,RS
CPS_0037,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.2,F3,CC
CPS_0038,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.2,F3,CC
CPS_0039,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.1,F2,TC,TC.1,F2,TC
CPS_0040,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,TC.2,F3,TC
CPS_0041,CPS,TC,TC.2,F3,MODERATE,False,True,True,CC.2,F3,CC,TC.2,F3,TC,TC.2,F3,TC
CPS_0042,CPS,TC,TC.2,F3,MODERATE,False,True,True,CC.1,F3,CC,TC.2,F3,TC,TC.2,F3,TC
CPS_0043,CPS,TC,TC.2,F3,MODERATE,False,True,True,CC.2,F3,CC,TC.2,F3,TC,TC.2,F3,TC
CPS_0044,CPS,TC,TC.2,F3,MODERATE,False,True,True,CC.2,F3,CC,TC.2,F3,TC,TC.2,F3,TC
CPS_0045,CPS,TC,TC.1,F3,MODERATE,False,True,True,CC.2,F3,CC,TC.1,F3,TC,TC.1,F3,TC
CPS_0046,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,TC.1,F3,TC
CPS_0047,CPS,TC,TC.1,F2,LOW,False,False,True,CC.2,F3,CC,TC.1,F2,TC,TC.1,F2,TC
CPS_0048,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.2,F3,CC
CPS_0049,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0050,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.2,F3,CC
CPS_0051,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0052,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0053,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0054,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0055,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0056,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0057,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0058,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0059,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0060,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0061,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0062,CPS,TC,TC.1,F3,MODERATE,False,True,True,CC.2,F3,CC,TC.1,F3,TC,TC.1,F3,TC
CPS_0063,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0064,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0065,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.2,F3,CC
CPS_0068,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0066,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0067,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.2,F3,CC
CPS_0071,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.2,F3,CC,CC.1,F3,CC
CPS_0069,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0070,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.2,F3,CC
CPS_0072,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0073,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0074,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0075,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0077,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0076,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0079,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.1,F2,TC,TC.2,F2,TC
CPS_0078,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0080,CPS,CC,CC.4,F2,MODERATE,False,True,True,CC.4,F2,CC,TC.2,F2,TC,CC.4,F2,CC
CPS_0081,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0083,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0082,CPS,TC,TC.2,F3,MODERATE,False,True,True,CC.2,F3,CC,TC.2,F3,TC,TC.2,F3,TC
CPS_0084,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.2,F2,TC
CPS_0085,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,TC.1,F3,TC
CPS_0086,CPS,CC,CC.2,F3,MODERATE,False,True,True,CC.2,F3,CC,TC.1,F3,TC,CC.2,F3,CC
CPS_0087,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.1,F2,TC
CPS_0088,CPS,CC,CC.4,F3,HIGH,True,True,True,CC.4,F3,CC,CC.4,F3,CC,CC.4,F3,CC
CPS_0089,CPS,CC,CC.4,F3,HIGH,True,True,True,CC.4,F3,CC,CC.4,F3,CC,CC.4,F3,CC
CPS_0090,CPS,CC,CC.4,F3,HIGH,True,True,True,CC.4,F3,CC,CC.4,F3,CC,CC.4,F3,CC
CPS_0092,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.4,F3,CC,CC.4,F3,CC
CPS_0091,CPS,CC,CC.4,F3,HIGH,True,True,True,CC.4,F3,CC,CC.4,F3,CC,CC.4,F3,CC
CPS_0093,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0096,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0095,CPS,CC,CC.4,F2,MODERATE,True,False,True,CC.4,F3,CC,CC.4,F2,CC,CC.4,F2,CC
CPS_0094,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0097,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0098,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0099,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0100,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0102,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0101,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0103,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0105,CPS,CC,CC.3,F1,LOW,False,False,True,CC.3,F1,CC,PC.1,F2,PC,CC.3,F1,CC
CPS_0104,CPS,PC,PC.1,F2,MODERATE,True,False,True,PC.1,F3,PC,PC.1,F2,PC,PC.1,F2,PC
CPS_0106,CPS,PC,PC.1,F3,HIGH,True,True,True,PC.1,F3,PC,PC.1,F3,PC,PC.1,F3,PC
CPS_0107,CPS,PC,PC.1,F3,HIGH,True,True,True,PC.1,F3,PC,PC.1,F3,PC,PC.1,F3,PC
CPS_0108,CPS,PC,PC.1,F3,MODERATE,False,True,True,MC.2,F3,MC,PC.1,F3,PC,PC.1,F3,PC
CPS_0109,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0110,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0111,CPS,CC,CC.2,F3,MODERATE,True,False,True,CC.2,F2,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0112,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0113,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0114,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0116,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0117,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0115,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0118,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0119,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0125,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0126,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0127,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.1,F2,TC,TC.1,F2,TC
CPS_0133,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0134,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0141,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0135,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.1,F2,TC,TC.1,F2,TC
CPS_0142,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0143,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.1,F2,TC,TC.1,F2,TC
CPS_0150,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0149,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0157,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0158,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0151,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.1,F2,TC,TC.1,F2,TC
CPS_0159,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.2,F2,TC,TC.1,F2,TC
CPS_0163,CPS,MC,MC.2,F1,HIGH,True,True,True,MC.2,F1,MC,MC.2,F1,MC,MC.2,F1,MC
CPS_0162,CPS,MC,MC.2,F1,HIGH,True,True,True,MC.2,F1,MC,MC.2,F1,MC,MC.2,F1,MC
CPS_0165,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0166,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0167,CPS,TC,TC.1,F2,HIGH,True,True,True,TC.1,F2,TC,TC.1,F2,TC,TC.1,F2,TC
CPS_0173,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0168,CPS,MC,MC.3,F1,HIGH,True,True,True,MC.3,F1,MC,MC.3,F1,MC,MC.3,F1,MC
CPS_0174,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0175,CPS,TC,TC.2,F2,HIGH,True,True,True,TC.2,F2,TC,TC.1,F2,TC,TC.2,F2,TC
CPS_0176,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0177,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0178,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0179,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0180,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0182,CPS,CC,CC.1,F3,MODERATE,True,False,True,CC.1,F3,CC,CC.4,F2,CC,CC.4,F3,CC
CPS_0181,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.1,F3,CC
CPS_0183,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0184,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0186,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0185,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0187,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0188,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.2,F3,CC
CPS_0189,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0191,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0190,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.2,F3,CC
CPS_0192,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.2,F3,CC,CC.2,F3,CC
CPS_0194,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0193,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.1,F3,CC
CPS_0195,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0196,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0197,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0198,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0199,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0200,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0201,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0202,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0203,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.2,F3,CC,CC.1,F3,CC
CPS_0204,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0205,CPS,CC,CC.2,F3,HIGH,True,True,True,CC.2,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0206,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0207,CPS,CC,CC.4,F2,HIGH,True,True,True,CC.4,F2,CC,CC.4,F2,CC,CC.4,F2,CC
CPS_0208,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0209,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0211,CPS,RS,RS.1,F1,HIGH,True,True,True,RS.1,F1,RS,RS.1,F1,RS,RS.1,F1,RS
CPS_0212,CPS,CC,CC.4,F2,HIGH,True,True,True,CC.4,F2,CC,CC.4,F2,CC,CC.4,F2,CC
CPS_0213,CPS,MC,MC.2,F1,HIGH,True,True,True,MC.2,F1,MC,MC.2,F1,MC,MC.2,F1,MC
CPS_0215,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0214,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0217,CPS,TC,TC.2,F3,MODERATE,False,True,True,CC.2,F3,CC,TC.2,F3,TC,TC.2,F3,TC
CPS_0218,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0216,CPS,TC,TC.2,F2,LOW,False,False,True,CC.1,F3,CC,TC.2,F2,TC,TC.2,F2,TC
CPS_0219,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0221,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0220,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0222,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0223,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0224,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0225,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0226,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0227,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0228,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0229,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0230,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0231,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0232,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0233,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0234,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0235,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0236,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0237,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0238,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0240,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
CPS_0239,CPS,CC,CC.1,F3,HIGH,True,True,True,CC.1,F3,CC,CC.1,F3,CC,CC.1,F3,CC
