id,survey,question,question_length,primary_topic_openai,primary_subtopic_openai,confidence_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,min_confidence,confidence_diff
3682,Consumer Expenditure Survey (CE),"How did you collect the data for this (first/second/third/fourth) interview for this household? 1. Personal visit for all sections 2. Personal visit for all sections, but telephone followup for some questions 3. Personal visit for more than half of the sections, the rest by telephone 4. Equally split between personal visit and telephone 5. Telephone for more than half of the sections, the rest by personal visit 6. Telephone for all sections",444,Social,Household,0.65,Government,Geography,0.35,0.35,0.30000000000000004
3689,Consumer Expenditure Survey (CE),Was this a converted refusal?,29,Social,Household,0.6,Government,Geography,0.35,0.35,0.25
1202,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,"Please PRINT your name, your home address, your cell and home telephone numbers, the most convenient time to reach you, and your work and home e-mail addresses. This information would only be used in the event that we need to contact you for follow-up. All of the information you provide may be used only for statistical purposes and may not be disclosed, or used, in identifiable form for any other purpose except as required by law (20 U.S.C. §9573 and 6 U.S.C. §151).",470,Social,Household,0.6,Government,Federal Government,0.35,0.35,0.25
3704,Consumer Expenditure Survey (CE),OTHER NOT ATTEMPTING CONTACT Specify other activites you were doing,67,Social,Household,0.75,Economic,Expenditures,0.35,0.35,0.4
3688,Consumer Expenditure Survey (CE),"What was the TOTAL time (in minutes) you spent this month to complete this interview for: All other activities, such as non_x0002_interview contact attempts, finding phone numbers, or closing the case?",201,Social,Household,0.6,Government,Geography,0.35,0.35,0.25
3702,Consumer Expenditure Survey (CE),Enter the time of the contact attempt in HH:MM am/pm format,59,Social,Household,0.8,Economic,Expenditures,0.35,0.35,0.45000000000000007
3687,Consumer Expenditure Survey (CE),What was the TOTAL time (in minutes) you spent this month to complete this interview for: Interviewing the respondent?,118,Social,Household,0.6,Government,Geography,0.35,0.35,0.25
3686,Consumer Expenditure Survey (CE),What was the TOTAL time (in minutes) you spent this month to complete this interview for: Traveling to and from the sample unit? Exclude travel from another sample unit.,169,Social,Household,0.6,Government,Geography,0.35,0.35,0.25
3685,Consumer Expenditure Survey (CE),How did you collect MOST of the data for this case? (Include follow-ups),72,Social,Household,0.65,Government,Geography,0.35,0.35,0.30000000000000004
3684,Consumer Expenditure Survey (CE),"What was the main reason for collecting data by telephone? 1. Barriers to reaching the sample unit (i.e., doorman, security, dog). 2. Collecting data from additional respondent(s) in household 3. Excessive distance or travel time to sample unit. 4. Respondent called FR to do interview. 5. Respondent only available by telephone (scheduling issues). 6. Respondent refused personal visit. 7. Respondent requested telephone interview. 8. Other (Specify).",452,Social,Household,0.6,Government,Geography,0.35,0.35,0.25
3683,Consumer Expenditure Survey (CE),Were you able to conduct the interview in a single (visit/call)?,64,Social,Household,0.65,Government,Geography,0.35,0.35,0.30000000000000004
3703,Consumer Expenditure Survey (CE),"NOT ATTEMPTING CONTACT What were you doing? Enter all that apply, separate with commas. 1. Reviewing or changing case information 2. Readying case for transmission 3. Locating activities (canvassing, management or government office, FastData, LiMA, etc.) 4. Verification of Type B/C 5. Opened case/ CHI by mistake 99. Other - specify",333,Social,Household,0.75,Economic,Expenditures,0.35,0.35,0.4
3701,Consumer Expenditure Survey (CE),Enter the date of the contact attempt in MM/DD/YYYY format,58,Social,Household,0.8,Economic,Expenditures,0.35,0.35,0.45000000000000007
3705,Consumer Expenditure Survey (CE),Select the category that best describes this attempt. 1. Contact with sample unit member 2. Contact with NON-SAMPLE unit member 3. Noncontac,140,Social,Household,0.8,Economic,Expenditures,0.35,0.35,0.45000000000000007
1089,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,"Please PRINT your name, your home address, your work, cell, and home telephone numbers, and your work and home e-mail addresses. This information would only be used in the event that we need to contact you for follow-up. All of the information you provide may be used only for statistical purposes and may not be disclosed, or used, in identifiable form for any other purpose except as required by law (20 U.S.C. §9573 and 6 U.S.C. §151).",438,Government,Research and Development,0.35,Social,Schools,0.4,0.35,0.050000000000000044
1087,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,Please enter the date you completed this questionnaire.,55,Government,Research and Development,0.4,Social,Schools,0.45,0.4,0.04999999999999999
1319,Teacher Follow-up Survey (TFS) Former Teacher Survey,Please enter the date you completed this questionnaire.,55,Social,Household,0.4,Government,Geography,0.5,0.4,0.09999999999999998
1320,Teacher Follow-up Survey (TFS) Former Teacher Survey,"Please indicate how much time it took you to complete this form, not counting interruptions.",92,Government,Research and Development,0.4,Social,Schools,0.45,0.4,0.04999999999999999
3707,Consumer Expenditure Survey (CE),"PARTIAL INTERVIEW OR UNABLE TO CONDUCT INTERVIEW Select the categories that describe why you were not able to conduct or complete the interview during this contact attempt. Enter all that apply, separate with commas. 1. Eligible person not available 2. Inconvenient time 3. Respondent is reluctant 4. Language problem - specify 5. Health problem 6. Successful paper questionnaire placement / pick-up 99. Other - specify",419,Social,Household,0.75,Economic,Expenditures,0.4,0.4,0.35
1321,Teacher Follow-up Survey (TFS) Former Teacher Survey,"Please PRINT your name, your home address, your cell and home telephone numbers, the most convenient time to reach you, and your work and home e-mail addresses. This information would only be used in the event that we need to contact you for follow-up. All of the information you provide may be used only for statistical purposes and may not be disclosed, or used, in identifiable form for any other purpose except as required by law (20 U.S.C. §9573 and 6 U.S.C. §151).",470,Demographic,Population,0.85,Social,Schools,0.4,0.4,0.44999999999999996
5454,Census Military Panel (CMP),Is this number a cell phone or land line?,41,Social,Household,0.85,Government,Geography,0.4,0.4,0.44999999999999996
1519,National Ambulatory Medical Care Survey (NAMCS),Please enter the date you completed this questionnaire,54,Social,Schools,0.6,Government,Geography,0.4,0.4,0.19999999999999996
5455,Census Military Panel (CMP),Would you like us to contact you by text message?,49,Social,Computer & Internet Use,0.75,Government,Geography,0.4,0.4,0.35
5457,Census Military Panel (CMP),What is your email address?,27,Social,Household,0.88,Government,Geography,0.4,0.4,0.48
1370,Teacher Follow-Up Survey (TFS) Current Teacher Survey,"Please indicate how much time it took you to complete this form, not counting interruptions.",92,Government,Research and Development,0.4,Social,Schools,0.65,0.4,0.25
3706,Consumer Expenditure Survey (CE),"Select the category that best describes this contact attempt. 1. Completed Case (Interview, Sufficient Partial, Type A/B/C/D, Vacant Interview, Temp Occupied Interview) - Ready to Transmit 2. Partial interview - follow-up required 3. Unable to conduct interview",261,Social,Household,0.8,Economic,Expenditures,0.4,0.4,0.4
1088,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,"Please indicate how much time it took you to complete this form, not counting interruptions.",92,Government,Research and Development,0.4,Social,Schools,0.45,0.4,0.04999999999999999
5590,American Housing Survey (AHS),What needs to be changed for ^NAMEFILL?,39,Demographic,Population,0.4,Housing,Housing,0.45,0.4,0.04999999999999999
5456,Census Military Panel (CMP),Our records have your email address as [EMAIL].  Is this correct?,65,Social,Household,0.88,Government,Geography,0.4,0.4,0.48
5481,American Housing Survey (AHS),What is ^your_the correct mailing address?,42,Housing,Occupancy,0.8,Social,Household,0.4,0.4,0.4
3700,Consumer Expenditure Survey (CE),Are you entering the Contact History Instrument at the time of a contact attempt?,81,Social,Household,0.8,Economic,Expenditures,0.45,0.45,0.35000000000000003
2310,"National Training, Education, and Workforce Survey (NTEWS)","For 2024, please provide the number of visits for the following: Please enter a whole number",92,Social,Medical Care,0.95,Economic,Receipts,0.45,0.45,0.49999999999999994
5453,Census Military Panel (CMP),What is a good phone number to reach you?,41,Social,Household,0.9,Government,Geography,0.45,0.45,0.45
5452,Census Military Panel (CMP),Our records have your phone number as [PHONE NUMBER].  Is this correct?,71,Social,Household,0.9,Government,Geography,0.45,0.45,0.45
5362,Current Population Survey (CPS),"(We will recontact this household in 8 months / In the future we may need to recontact this household / We will recontact this household next month) to update this information. If we are unable to reach you and we talk to someone else instead, is it OK if we refer to some of the information you gave us?",304,Social,Household,0.6,Government,Geography,0.5,0.5,0.09999999999999998
931,National Teacher and Principal Survey (NTPS) Private School Questionnaire,Please enter the date your school completed this questionnaire,62,Social,Schools,0.8,Government,Geography,0.5,0.5,0.30000000000000004
932,National Teacher and Principal Survey (NTPS) Private School Questionnaire,"Please indicate how much time it took your school to complete this form, not counting interruptions.",100,Social,Schools,0.75,Government,Geography,0.5,0.5,0.25
6595,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,What made it difficult to keep track of all the foods and drinks you got?,73,Social,Expenditures,0.8,Economic,Expenditures,0.5,0.5,0.30000000000000004
6598,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,Which item(s) were you unsure about including in the Food Log?,62,Social,Household,0.8,Economic,Expenditures,0.5,0.5,0.30000000000000004
2511,National Survey of College Graduates (NSCG),"Because we are interested in how education and employment change over time, we may be contacting you in 2023. To help us contact you, please list phone numbers and an email address where you can be reached.",206,Demographic,Population,0.5,Social,Household,0.65,0.5,0.15000000000000002
6596,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,I understood which items to include in the Food Log,51,Social,Household,0.75,Economic,Expenditures,0.5,0.5,0.25
6599,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,Which item(s) were you unsure about excluding from the Food Log?,64,Social,Household,0.8,Economic,Expenditures,0.5,0.5,0.30000000000000004
6597,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,I understood which items to exclude from the Food Log,53,Social,Household,0.75,Economic,Expenditures,0.5,0.5,0.25
6794,Business Enterprise Research and Development Survey,Who should be contacted to answer questions about data reported on this form?,77,Economic,Employer,0.5,Government,Federal Government,0.65,0.5,0.15000000000000002
5458,Census Military Panel (CMP),Our records have the following address as your home address where we will mail incentives for taking surveys. Is this correct? ,127,Social,Household,0.9,Housing,Residential,0.55,0.55,0.35
6594,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,How easy or difficult was it to keep track of all the foods and drinks you got during the study so you could report them in the Food Log?,137,Social,Expenditures,0.8,Economic,Expenditures,0.55,0.55,0.25
930,National Teacher and Principal Survey (NTPS) Private School Questionnaire,What is the school’s phone number?,34,Social,Schools,0.75,Government,Geography,0.6,0.6,0.15000000000000002
5053,Survey of Income and Program Participation (SIPP),Who responded to the majority of the interview?,47,Demographic,Relationship,0.95,Government,Federal Government,0.6,0.6,0.35
5052,Survey of Income and Program Participation (SIPP),"If WAVE = 1, 2, 3: Since this survey measures economic change over time, we recontact respondents annually to update their information. Also, as part of our quality assurance program, my office may contact you in the next several weeks to verify the quality of my work. Thank you again.",286,Social,Household,0.6,Government,Federal Government,0.7,0.6,0.09999999999999998
6539,Food Acquisition and Purchase Survey (FoodAPS) Profile and Income Questionnaire,In what units will you report your height?  ,44,Social,Medical Care,0.6,Demographic,Population,0.8,0.6,0.20000000000000007
6199,American Housing Survey (AHS),I'd like to schedule a date to complete the interview. What date would be best to call back?,92,Social,Household,0.6,Housing,Housing,0.7,0.6,0.09999999999999998
1524,National Health Interview Survey (NHIS),How shall I refer to ^youthisperson for the rest of the interview?,66,Social,Household,0.6,Demographic,Relationship,0.7,0.6,0.09999999999999998
5459,Census Military Panel (CMP),Please enter your home address.,31,Social,Household,0.9,Housing,Residential,0.6,0.6,0.30000000000000004
4788,Survey of Income and Program Participation (SIPP),What was the face value of the life insurance policies?,55,Social,Household,0.6,Economic,Expenditures,0.75,0.6,0.15000000000000002
6739,FoodAPS food Log,"WAIT. If your day is not over yet and you [or NAMES FILL] may get more food and/or drinks, please exit your browser. When you return to the Day 1 ${e://Field/day_1} survey, your progress will be saved and you will be taken to this page. When you return, you can either report more food and/or drinks or go to the next screen to finish your food log day.",353,Social,Computer & Internet Use,0.6,Economic,Expenditures,0.7,0.6,0.09999999999999998
6743,FoodAPS food Log,Would you like to report the food and/or drinks to receive an additional $5 per person?,87,Social,Household,0.6,Economic,Food Stamps (SNAP),0.7,0.6,0.09999999999999998
5050,Survey of Income and Program Participation (SIPP),How many times did the FR attempt personal contact with the household?,70,Social,Household,0.6,Government,Federal Government,0.65,0.6,0.050000000000000044
3788,American Community Survey (ACS),"Please copy the name of Person 1 from page 2, then continue answering questions below.",86,Social,Household,0.6,Demographic,Population,0.85,0.6,0.25
5049,Survey of Income and Program Participation (SIPP),What is the 'other' reason this household is not avaiable to be interviewed during the interview period?,104,Social,Household,0.9,Government,Geography,0.6,0.6,0.30000000000000004
5048,Survey of Income and Program Participation (SIPP),Reason for the household being a Type Z noninterview,52,Social,Household,0.9,Government,Geography,0.6,0.6,0.30000000000000004
6799,Business Enterprise Research and Development Survey,COMMENTS,8,Economic,Research and Development,0.6,Government,Federal Government,0.6,0.6,0.0
4789,Survey of Income and Program Participation (SIPP),Did ... have any policies that build up a cash value or that ^TEMPNAME could borrow on?,87,Social,Household,0.6,Economic,Expenditures,0.72,0.6,0.12
4874,Survey of Income and Program Participation (SIPP),Did ... use any records to answer the asset questions?,54,Social,Household,0.6,Economic,Income,0.7,0.6,0.09999999999999998
5032,Survey of Income and Program Participation (SIPP),Was the interview status determined by observation only or by someone else?,75,Social,Household,0.6,Government,Geography,0.65,0.6,0.050000000000000044
2303,National Health Interview Survey (NHIS),May we try to link ^SCNAME's survey data without a Social Security Number?,74,Government,Research and Development,0.6,Demographic,Population,0.6,0.6,0.0
6888,Medical Expenditure Panel Survey Insurance Component,Who was primarily responsible for completing this section?,58,Economic,Business,0.6,Social,Household,0.65,0.6,0.050000000000000044
6919,Medical Expenditure Panel Survey Insurance Component,Who was primarily responsible for completing this section?,58,Economic,Business,0.7,Government,Jurisdiction,0.65,0.65,0.04999999999999993
6759,Survey of State Government Finances Finances of Insurance Trust Systems,Date you completed the questionnaire,36,Social,Schools,0.7,Government,School Districts,0.65,0.65,0.04999999999999993
5057,Household Trends and Outlook Pulse Survey (HTOPS),Our records have your name as ${e://Field/FirstNameFill} ${e://Field/LastNameFill}. Is this correct?,100,Social,Household,0.65,Government,Federal Government,0.7,0.65,0.04999999999999993
5033,Survey of Income and Program Participation (SIPP),Month the household left the sample.,36,Social,Moving,0.85,Government,Geography,0.65,0.65,0.19999999999999996
5034,Survey of Income and Program Participation (SIPP),Day the household left the sample.,34,Social,Moving,0.85,Government,Geography,0.65,0.65,0.19999999999999996
5035,Survey of Income and Program Participation (SIPP),First name of the person providing the information about the Type B or C noninterivew.,86,Social,Household,0.8,Government,Geography,0.65,0.65,0.15000000000000002
5036,Survey of Income and Program Participation (SIPP),Last name of the person providing the information about the Type B or C noninterivew.,85,Social,Household,0.8,Government,Geography,0.65,0.65,0.15000000000000002
5037,Survey of Income and Program Participation (SIPP),Title of the person providing the information about the Type B or C noninterview,80,Social,Household,0.75,Government,Geography,0.65,0.65,0.09999999999999998
5029,Survey of Income and Program Participation (SIPP),n what city does ^CONTPS1_NAME live?,36,Government,Geography,0.9,Demographic,Population,0.65,0.65,0.25
5051,Survey of Income and Program Participation (SIPP),Was the majority of this interview done by telephone or personal visit?,71,Social,Household,0.7,Government,Federal Government,0.65,0.65,0.04999999999999993
5054,Survey of Income and Program Participation (SIPP),Did the FR conduct any of this household's interview in Spanish?,64,Social,Language,0.95,Government,Federal Government,0.65,0.65,0.29999999999999993
5058,Household Trends and Outlook Pulse Survey (HTOPS),NAME_CORR What is your name?,28,Social,Household,0.65,Government,Federal Government,0.7,0.65,0.04999999999999993
6930,Medical Expenditure Panel Survey Insurance Component,Who was primarily responsible for completing this section?,58,Economic,Business,0.8,Social,Household,0.65,0.65,0.15000000000000002
3719,Consumer Expenditure Survey (CE),"Select the categories that describe this personal visit contact/noncontact. Enter all that apply, separate with commas. 1. No one home / No eligible person home 2. No one home - pervious note / letter taken 3. Household does not answer door - - evidence someone is home 4. Observe HH from vehicle 5. Unable to reach / locked gate / buzzer entry 6. Address does not exist / unable to locate 7. On vacation, away from home / at second home 8. Spoke with neighbor 9. Building management / doorman contact 10. Completed case (Type B/C, Vacant interview, or Temporarily Occupied Interview) 99. Other - specify",604,Social,Household,0.92,Government,Jurisdiction,0.65,0.65,0.27
3717,Consumer Expenditure Survey (CE),"Select the categories that describe respondent concerns, behaviors, or reluctance during this contact attempt. Enter all that apply, separate with commas. 1. Not interested 2. Too busy 3. Interview takes too much time 4. Scheduling difficulties 5. Survey is voluntary 6. Privacy concerns 7. Local / State / Federal government concerns 8. Asks questions about the survey 9. Hang-up / slams door on Fr 10. Hostile or threatens FR 11. Family issues (death, illness, block participation in survey) 12. Gave that information last time 13. Asked too many personal questions last time 14. Too many interviews 15. Intends to quit survey 98. No concerns 99. Other - specify",664,Social,Household,0.9,Government,Jurisdiction,0.65,0.65,0.25
364,"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","In your neighborhood, is/are there.. a. Sidewalks or walking paths? b. A park or playground? c. A recreation center, community center, or boys' and girls' club? d. A library or bookmobile? e. Litter or garbage on the street or sidewalk? f. Poorly kept or rundown housing? g. Vandalism such as broken windows or graffiti?",320,Government,Recreation,0.65,Social,Household,0.85,0.65,0.19999999999999996
1010,National Teacher and Principal Survey (NTPS) Principal Questionnaire,Please enter the date your school completed this questionnaire,62,Social,Schools,0.75,Government,School Districts,0.65,0.65,0.09999999999999998
1011,National Teacher and Principal Survey (NTPS) Principal Questionnaire,"Please indicate how much time it took your school to complete this form, not counting interruptions.",100,Social,Schools,0.75,Government,School Districts,0.65,0.65,0.09999999999999998
3718,Consumer Expenditure Survey (CE),"Select the categories that describe this telephone contact/noncontact. Enter all that apply, separate with commas. 1. Got answering machine/voicemail 2. Ring, no answer 3. Busy Signal 4. Disconnected 5. Wrong number 6. Spoke with ineligible person 7. Respondent left message (voicemail, text message, etc.) 99. Other - specify",326,Social,Household,0.92,Government,Jurisdiction,0.65,0.65,0.27
2304,National Health Interview Survey (NHIS),"In case I or someone from my office needs to get in touch with you, we need your full name. What is your full name? Enter last name.",132,Social,Household,0.7,Demographic,Population,0.65,0.65,0.04999999999999993
2334,"National Training, Education, and Workforce Survey (NTEWS)","For the MAIN job you wrote in question 7, please rate your satisfaction with this job’s...",90,Economic,Employment Status,0.7,Social,Occupation,0.65,0.65,0.04999999999999993
2335,"National Training, Education, and Workforce Survey (NTEWS)",How would you rate your overall satisfaction with the MAIN job you wrote in question 7?,87,Economic,Employment Status,0.7,Social,Occupation,0.65,0.65,0.04999999999999993
2686,Consumer Expenditure Survey (CE),What was the reason for paying a different amount?,50,Housing,"Costs (Mortgage, Taxes, Insurance)",0.8,Economic,Expenditures,0.65,0.65,0.15000000000000002
2302,National Health Interview Survey (NHIS),What are the last four digits of ^SCNAME's Social Security Number?,66,Government,Federal Government,0.7,Demographic,Population,0.65,0.65,0.04999999999999993
1988,National Health Interview Survey (NHIS),What are the last four digits of your Social Security Number?,61,Government,Federal Government,0.7,Demographic,Population,0.72,0.7,0.020000000000000018
6757,Survey of State Government Finances Finances of Insurance Trust Systems,Did other school personnel help to complete the questionnaire?,62,Social,Schools,0.75,Government,School Districts,0.7,0.7,0.050000000000000044
6756,Survey of State Government Finances Finances of Insurance Trust Systems,"Please provide the following information for the person who completed this questionnaire. If more than one person completed the questionnaire, please answer for the primary respondent. Name of primary person completing form; Title or position; Number of years at this school; Telephone number; E-mail address; Best days and times to reach you (in case we have further questions)",378,Social,Schools,0.7,Government,School Districts,0.75,0.7,0.050000000000000044
6613,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,"Sometimes people involved in a study change their typical behaviors because of being in the study. We want to know if being involved in this study changed people’s behavior from what they normally do. In general, during the [insert number of day fill] day Food Log, did you (or other household members) change the way you got food because you were taking part in this study? We appreciate your honesty and your answers will not change how much money you have earned from this study",481,Economic,Purchases,0.8,Social,Household,0.7,0.7,0.10000000000000009
5129,Household Trends and Outlook Pulse Survey (HTOPS),"The next set of questions asks about natural disasters, such as hurricanes, floods and fires. Since January 2024 (last year), were you or was anyone currently living or staying with you affected by a natural disaster?",217,Economic,Emergency,0.85,Social,Moving,0.7,0.7,0.15000000000000002
5162,Household Trends and Outlook Pulse Survey (HTOPS),Our records have the following address as your home address where we will mail incentives for taking surveys. Is this correct?,126,Government,Geography,0.8,Housing,Housing,0.7,0.7,0.10000000000000009
5169,Current Population Survey (CPS),Is that your exact address?,27,Government,Geography,0.85,Housing,Housing,0.7,0.7,0.15000000000000002
1005,National Teacher and Principal Survey (NTPS) Principal Questionnaire,What is his or her work e-mail address?,39,Social,Schools,0.7,Government,Public Employment,0.7,0.7,0.0
4566,Survey of Income and Program Participation (SIPP),Did ^TEMPNAME receive the bus or subway tokens or passes through a government agency? What was the source of the bus or subway tokens or passes?,144,Government,Local Government,0.7,Social,Expenditures,0.8,0.7,0.10000000000000009
4565,Survey of Income and Program Participation (SIPP),Did ^TEMPNAME receive the gas vouchers through a government social service agency? What was the source of the gas voucher?,122,Government,Local Government,0.7,Social,Expenditures,0.8,0.7,0.10000000000000009
2294,National Health Interview Survey (NHIS),"At any time in the last 12 months did any family members living here receive benefits from the WIC program, that is, the Women, Infants, and Children program?",158,Economic,Food Stamps (SNAP),0.7,Social,Children,0.85,0.7,0.15000000000000002
1995,National Health Interview Survey (NHIS),I have recorded that you are knowledgeable about and responsible for ^SCNAME's health care. Is that correct?,108,Social,Medical Care,0.9,Demographic,Relationship,0.7,0.7,0.20000000000000007
6374,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,"What month and year did (you/NAMES FROM B14a, B14b1, or if only one child <5 list that child’s name) start to receive benefits from the WIC program?",148,Social,Children,0.7,Economic,Food Stamps (SNAP),0.95,0.7,0.25
6373,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,"Select the names of the people listed below that currently receive WIC benefits, including infants and children",111,Social,Children,0.7,Economic,Food Stamps (SNAP),0.95,0.7,0.25
6372,Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Are you/Is anyone in your household now receiving benefits from WIC?,68,Social,Children,0.7,Economic,Food Stamps (SNAP),0.95,0.7,0.25
1984,National Health Interview Survey (NHIS),Is there at least one telephone INSIDE ^HOME that is currently working and is not a cell phone?,95,Housing,Utilities,0.7,Social,Computer & Internet Use,0.7,0.7,0.0
3845,Survey of Income and Program Participation (SIPP),"We will begin the interview with questions about who lives here, their ages, how they're related to each other, and other information. Then I will ask you questions about your jobs and other sources of income. After that, I'll have similar questions about the other people who live here.",287,Demographic,Relationship,0.9,Social,Household,0.7,0.7,0.20000000000000007
6116,American Housing Survey (AHS),Sometimes communities that are not age-restricted still attract certain age groups. Do you think the majority of your neighbors are 55 or over?,143,Demographic,Age,0.9,Housing,Housing,0.7,0.7,0.20000000000000007
6758,Survey of State Government Finances Finances of Insurance Trust Systems,"If yes, please list the title(s) or position(s) of these staff",62,Social,Schools,0.75,Government,School Districts,0.7,0.7,0.050000000000000044
5046,Survey of Income and Program Participation (SIPP),Contact person's telephone number: Extension (if applicable).,61,Social,Household,0.85,Government,Geography,0.7,0.7,0.15000000000000002
2615,Consumer Expenditure Survey (CE),With whom am I speaking?,24,Social,Household,0.9,Demographic,Relationship,0.7,0.7,0.20000000000000007
3625,Consumer Expenditure Survey (CE),"Do (you/you or any members of your household) have any retirement accounts such as 401(k)s, IRAs, or Thrift Savings Plans?",122,Government,Pension,0.7,Economic,Income,0.85,0.7,0.15000000000000002
86,Identity Theft Supplement (ITS),"5. Have you ever had a credit card account in your name? Include major credit cards such as a MasterCard or Visa, and credit cards through retailers, such as Kohl’s, Walmart, or Amazon. Please do not include debit cards or gift cards.",234,Social,Crime,0.85,Economic,Income,0.7,0.7,0.15000000000000002
3664,Consumer Expenditure Survey (CE),Did (you/your household) have any student loans ONE YEAR AGO TODAY?,67,Economic,Expenses,0.7,Social,Post-Secondary Education,0.8,0.7,0.10000000000000009
5044,Survey of Income and Program Participation (SIPP),Contact person's telephone number: Area code,44,Social,Household,0.85,Government,Geography,0.7,0.7,0.15000000000000002
