id,primary_topic_openai,primary_subtopic_openai,confidence_openai,secondary_concepts_openai,reasoning_openai,primary_topic_claude,primary_subtopic_claude,confidence_claude,secondary_concepts_claude,reasoning_claude
30,Social,Schools,0.8,[],"Asks about student relationships and school connectedness, which pertains to school climate and the Schools subtopic.",Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Child Care'}]","Question assesses student perceptions of supportive relationships and mentorship at school, which relates to school environment and educational support systems."
31,Social,Crime,0.95,[],"Directly asks respondents' perception of crime in their neighborhood, fitting the Crime subtopic.",Social,Crime,0.95,"[{'topic': 'Government', 'subtopic': 'Geography'}]","Question directly asks about crime prevalence in the respondent's residential neighborhood, which is a core crime victimization survey measure."
32,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Asks about crime in the area around the school (crime is primary), with relevance to school location/impact (Schools).",Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Geography'}]","Question asks about crime in the school neighborhood, combining crime assessment with school-related geography."
33,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Asks about students' sense of safety at school, a Schools subtopic; safety concerns also relate to Crime.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures perceived safety at school, which is a key indicator in crime victimization and school safety surveys."
34,Social,Schools,0.8,"[{'topic': 'Social', 'subtopic': 'Crime'}]",Concerns observation of substance use within the school/virtual school context—primarily a school environment question with crime/drug implications.,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about observation of substance abuse by students at school, which relates to school crime and safety concerns."
35,Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Crime'}]",Asks about the availability of illegal drugs at school (school environment primary) and relates to criminal activity/substance availability.,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question assesses availability of illegal drugs and alcohol at school, which is a school crime and safety indicator."
36,Social,Schools,0.8,"[{'topic': 'Social', 'subtopic': 'Crime'}]",Similar to prior items about witnessing substance use during in-person or virtual school—focused on the school context with crime/drug relevance.,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about observation of substance abuse by students at school or during virtual classes, relating to school crime and safety."
37,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Asks about involvement in physical fights at school, a form of victimization/violent incidents (Crime) occurring in the school context.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question directly asks about physical fights at school, which is a violent crime indicator in school crime surveys."
38,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Quantifies frequency of physical fights at school—counts of violent incidents fit Crime, with relevance to Schools.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks for frequency of physical fights at school, providing quantitative data on violent incidents in school crime surveys."
39,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]",Asks about bullying behaviors (including cyber and in-person) occurring among students—primarily a Schools issue that overlaps with Crime (harassment/victimization).,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question comprehensively measures bullying victimization at school across multiple forms (verbal, social, physical, exclusion), which is a key school crime and safety indicator."
0,Social,School Enrollment,0.96,"[{'topic': 'Social', 'subtopic': 'Education'}]","Question asks about in-person attendance at a public or private school this school year, which directly concerns school enrollment and mode of attendance.",Social,School Enrollment,0.98,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question directly asks about in-person school attendance during the school year, which is a core measure of school enrollment status."
1,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}]",Asking whether the respondent received online/virtual schooling provided by a school pertains to enrollment and the modality of schooling.,Social,School Enrollment,0.97,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'COVID-19 Data'}]","Question addresses online/virtual schooling as an alternative form of school enrollment, with COVID-19 context relevant to educational delivery methods."
2,Social,School Enrollment,0.96,"[{'topic': 'Social', 'subtopic': 'Education'}]","This question asks whether the respondent was homeschooled instead of being enrolled in public/private school, which is a school enrollment status.",Social,School Enrollment,0.98,"[{'topic': 'Social', 'subtopic': 'Education'}]","Question asks about homeschooling as an alternative to traditional school enrollment, directly measuring educational enrollment status."
3,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}]",Attending a homeschool cooperative concerns the respondent's schooling arrangement and enrollment modality.,Social,School Enrollment,0.96,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question addresses in-person attendance at homeschool cooperatives, which represents a specific form of educational enrollment and school participation."
4,Social,COVID-19 Data,0.92,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Education'}]","The question asks whether the change in schooling modality was due to the Coronavirus pandemic, directly relating to COVID-19 impacts on schooling/enrollment.",Social,COVID-19 Data,0.96,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question explicitly asks about pandemic-related reasons for alternative schooling arrangements, making COVID-19 the primary focus while school enrollment is secondary."
5,Social,Education,0.9,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Crime'}]","This asks for reasons families chose homeschooling (education quality, safety, bullying, religion, illness), which relates to educational choices and enrollment decisions; bullying/safety ties to crime/school environment.",Social,Education,0.92,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}, {'topic': 'Social', 'subtopic': 'Crime'}, {'topic': 'Social', 'subtopic': 'Disability'}]","Question explores multiple reasons for homeschooling decisions including safety/bullying (crime), school quality, health conditions (disability), and religious reasons, making it primarily about educational choice factors."
6,Social,School Enrollment,0.92,"[{'topic': 'Social', 'subtopic': 'Moving'}]",Counting how many different schools were attended this year is a measure of school enrollment history and may relate to moves or transfers.,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about the number of schools attended, which measures school enrollment patterns and mobility during the school year."
7,Social,School Enrollment,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}]",Asking what grade the respondent would have been enrolled in if in public/private school pertains to grade-level enrollment status.,Social,School Enrollment,0.94,"[{'topic': 'Demographic', 'subtopic': 'Age'}]","Question asks about grade level for homeschooled students, which is a measure of educational enrollment status and grade progression."
8,Social,School Enrollment,0.93,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Demographic', 'subtopic': 'Age'}]",Asking the respondent's current grade is a direct indicator of school enrollment and educational level; grade is also closely linked to respondent age.,Demographic,Age,0.97,"[{'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question directly asks for current grade level, which is a standard demographic measure of age/educational stage for school-age populations."
9,Social,School Enrollment,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}]",The month the current school year began concerns the timing of the respondent's school enrollment and school-year scheduling.,Social,School Enrollment,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about school year start date, which relates to school enrollment timing and educational calendar information."
40,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Asks about occurrences of bullying (victimization) during the school year, which is a crime/victimization measure in a school context.",Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question directly asks about bullying victimization, which is a form of crime/interpersonal harm occurring in a school setting."
41,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Measures frequency of hurtful acts by other students (victimization), a crime-related count within a school setting.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures frequency of bullying incidents, which is a crime victimization metric in the school context."
42,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Assesses perceived risk of repeat victimization (bullying), which pertains to crime/victimization and fear in a school context.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question assesses victim perception of future bullying risk, a component of crime victimization surveys."
43,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Determines whether multiple people perpetrated the bullying, directly related to victimization/crime dynamics in school.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question determines whether bullying involved multiple perpetrators, relevant to crime victimization characterization."
44,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Asks about perpetrators' coordination (acting alone vs. as a group), a characteristic of the bullying/victimization incident.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question characterizes perpetrator coordination in bullying incidents, a crime victimization detail."
45,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Asks about physical size/power differences between victim and perpetrator(s), relevant to the dynamics of bullying (victimization).",Social,Crime,0.94,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question assesses power differential (physical strength) between victim and perpetrator, a key bullying/crime characteristic."
46,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Inquires whether perpetrator(s) were more popular, indicating social power imbalance relevant to bullying/victimization in schools.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures social power differential in bullying, a defining characteristic of bullying as a crime."
47,Social,Crime,0.85,"[{'topic': 'Economic', 'subtopic': 'Income'}, {'topic': 'Social', 'subtopic': 'Education'}]","Asks about relative economic advantage of perpetrators (having more money), a factor in social power dynamics around bullying (victimization).",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Question assesses economic power differential between bullying victim and perpetrator.
48,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","Assesses perpetrators' social influence over peers (reputation/peer perception), which contributes to bullying dynamics and victimization in school.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures social influence power as a bullying characteristic, relevant to crime victimization assessment."
49,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Children'}]","General question about other forms of power imbalance between perpetrators and victim, bearing on bullying/victimization in the school setting.",Social,Crime,0.91,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question captures additional power differentials in bullying relationships, a component of crime victimization characterization."
50,Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Crime'}, {'topic': 'Social', 'subtopic': 'Children'}]","The question concerns power imbalance in school bullying situations, which is most directly a school/social issue; it also relates to criminal/victimization context and child behavior.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question addresses bullying dynamics and power imbalances in a school crime victimization context, directly related to crime and school-based incidents."
51,Demographic,Relationship,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Children'}]","The item asks about the respondent's relationship to the bully (e.g., sibling, dating partner, fellow student), which maps to the Demographic 'Relationship' concept and is within a school/child context.",Social,Crime,0.9,"[{'topic': 'Demographic', 'subtopic': 'Relationship'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question investigates the relationship between bullying victim and perpetrator in a school crime context, combining crime victimization with relationship classification."
52,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","The question asks where bullying occurred across school locations (including online), making 'Schools' the primary subtopic with relevance to victimization (crime) and online/Internet context.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Geography'}]","Question documents the location of bullying incidents within and around school premises, essential for crime victimization surveys and school safety assessment."
53,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","This follow-up asks for another school-related location of bullying, so 'Schools' is primary and it remains within the bullying/victimization (crime) domain.",Social,Crime,0.91,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Follow-up question specifying additional locations where bullying occurred, continuing the crime victimization location documentation."
54,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Crime'}]","The item asks whether the student reported bullying to school staff, which is a school-focused (reporting) question tied to victimization/crime response.",Social,Crime,0.88,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question assesses victim reporting behavior to school authorities, relevant to crime victimization and school safety response patterns."
55,Social,Schools,0.85,"[{'topic': 'Social', 'subtopic': 'Medical Care'}, {'topic': 'Social', 'subtopic': 'Household'}]","The question assesses negative effects of school bullying on schoolwork and personal health/relationships, so it's centered on schools with secondary relevance to health impacts and family/relationship effects.",Social,Crime,0.89,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question measures the impact of bullying victimization on academic performance, social relationships, and health, assessing consequences of crime victimization."
56,Social,Crime,0.8,"[{'topic': 'Demographic', 'subtopic': 'Race'}, {'topic': 'Social', 'subtopic': 'Disability'}]","This asks whether bullying was perceived as motivated by protected characteristics (bias-related), which is most directly a hate/bias victimization (crime) issue and also ties to demographic categories like race and disability.",Social,Crime,0.91,"[{'topic': 'Demographic', 'subtopic': 'Race'}, {'topic': 'Demographic', 'subtopic': 'Ethnicity'}, {'topic': 'Social', 'subtopic': 'Disability'}]","Question investigates whether bullying was motivated by protected characteristics including race, religion, ethnicity, disability, gender, and sexual orientation, relevant to hate crime classification."
57,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Demographic', 'subtopic': 'Race'}]","The question asks about hate-related name-calling (bias-motivated harassment), which is a crime/victimization concept located in the school context and tied to demographic groups such as race.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Demographic', 'subtopic': 'Race'}]","Question documents hate-related verbal harassment in school settings based on protected characteristics, directly measuring hate crime victimization."
58,Demographic,Race,0.85,"[{'topic': 'Social', 'subtopic': 'Disability'}, {'topic': 'Social', 'subtopic': 'Crime'}]","This item asks which protected characteristics (race, disability) the hate-related words targeted, so demographic categories (race) are primary, with disability and hate-related crime as relevant secondaries.",Social,Crime,0.9,"[{'topic': 'Demographic', 'subtopic': 'Race'}, {'topic': 'Social', 'subtopic': 'Disability'}]","Follow-up question specifying which protected characteristics motivated hate-related words, continuing hate crime victimization documentation."
59,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","The question asks about observing hate-related words or symbols written at school, which is a form of bias-motivated vandalism/harassment (crime) occurring in school locations.",Social,Crime,0.91,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Geography'}]","Question documents exposure to hate symbols and messages in school environments, measuring school-based hate crime indicators and school safety concerns."
60,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Computer & Internet Use'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about hate-related content (a form of harassment/victimization) posted on school-sponsored online platforms, linking it to crime/harassment and internet use in schools.",Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Computer & Internet Use'}]","Question directly addresses hate-related criminal behavior and harassment in school settings, specifically through digital platforms used by schools."
61,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Children'}]","Question concerns skipping virtual classes due to fear of harm from other students, which is a school-based victimization/fear issue.",Social,Crime,0.92,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question measures avoidance behavior due to fear of peer victimization and harmful conduct in school, which is a crime-related concern affecting school attendance."
62,Social,Crime,0.96,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Police'}]","Question asks about avoiding specific school locations because of fear of attack or harm, directly addressing school safety and victimization.",Social,Crime,0.96,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question directly assesses fear of attack or harm and resulting avoidance of specific school locations, which are core crime victimization and safety concerns."
63,Social,Crime,0.96,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Children'}]","Question asks about avoiding school activities due to fear of being attacked or harmed, which is a form of school-related victimization/fear.",Social,Crime,0.94,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question measures avoidance of school activities due to fear of attack or harm, directly related to crime victimization and school safety."
64,Social,Crime,0.96,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Children'}]","Question specifically addresses avoiding classes because of fear of harm, a school safety and victimization issue.",Social,Crime,0.94,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question measures class avoidance due to fear of attack or harm, a direct indicator of crime-related concerns affecting school participation."
65,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about absenteeism from school due to fear of attack or harm, tying into school safety and impact on school attendance.",Social,Crime,0.96,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question directly addresses school absenteeism due to fear of attack or harm in school-related contexts, a primary crime victimization concern."
66,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Children'}]","Question measures frequency of fear of attack on school property, a direct indicator of perceived victimization and school safety.",Social,Crime,0.96,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures frequency of fear regarding potential attack or harm in school settings, a core indicator of crime victimization risk perception."
67,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Economic', 'subtopic': 'Commute/Commuting'}]","Question asks about fear of harm on school buses or en route to school, relating to school safety and travel to school (commuting).",Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures frequency of fear regarding potential attack or harm during school transportation and commute, a crime victimization concern."
68,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Children'}, {'topic': 'Social', 'subtopic': 'Household'}]","Question asks about general fear of attack or harm outside school contexts, a broader victimization/fear measure affecting children and household well-being.",Social,Crime,0.93,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question measures general fear of attack or harm outside school contexts, assessing broader crime victimization concerns among school-age respondents."
69,Social,Crime,0.97,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Police'}]","Question asks about bringing weapons to school, which is a direct school safety and criminal behavior/victimization indicator connected to law enforcement concerns.",Social,Crime,0.96,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question directly addresses weapon possession in school settings, a critical crime and school safety indicator measuring illegal and dangerous behavior."
70,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about students bringing guns to school, which is a school-based criminal/violent behavior; relevant to both crime and school context.",Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question directly addresses knowledge of weapons at school, which is a crime-related safety concern in an educational setting."
71,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Asking whether the respondent has seen a student with a gun involves witnessing a criminal/violent act in the school setting.,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question asks about direct observation of weapons at school, a crime and safety issue in educational environments."
72,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Children'}]","Question concerns minors' access to loaded firearms (a public safety/crime issue) and references availability both at and away from school, implicating school safety and youth behavior.",Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Demographic', 'subtopic': 'Age'}]","Question assesses youth access to weapons, a crime prevention and school safety concern."
73,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Asking about presence of gangs at school relates directly to criminal group activity within the school environment.,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question directly addresses gang presence at schools, a crime and safety issue in educational settings."
74,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Frequency of gang-involved fights/attacks is a measure of violent/criminal incidents occurring at school, tying to crime and school safety.",Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question measures frequency of gang-related violence at school, a direct crime and safety indicator."
75,Social,Crime,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]",Involvement of gangs in drug sales at school addresses criminal activity (drug distribution) within the school context.,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Government', 'subtopic': 'Police'}]","Question addresses drug-related criminal activity by gangs at schools, a crime and safety concern."
76,Social,Education,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about the student's academic performance (grades) across subjects, which is an education/school performance measure.",Social,Education,0.9,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'School Enrollment'}]","Question asks about academic grades/performance, a direct measure of educational achievement."
77,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Children'}]",Asking whether the student skipped classes in the recent weeks pertains to school attendance/behavior and youth (student) conduct.,Social,School Enrollment,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question measures school attendance behavior, which relates to school enrollment and educational engagement."
78,Social,Schools,0.9,"[{'topic': 'Social', 'subtopic': 'Children'}]","Number of days a student skipped classes quantifies school attendance/truancy, a school-related behavioral measure concerning students.",Social,School Enrollment,0.85,"[{'topic': 'Social', 'subtopic': 'Schools'}, {'topic': 'Social', 'subtopic': 'Education'}]","Question quantifies class absences, a measure of school attendance and educational engagement."
79,Social,Post-Secondary Education,0.95,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about intentions to attend and complete postsecondary schooling, directly addressing post-secondary education plans and broader educational aspirations.",Social,Post-Secondary Education,0.9,"[{'topic': 'Social', 'subtopic': 'Education'}, {'topic': 'Social', 'subtopic': 'Schools'}]","Question asks about future educational aspirations and college attendance plans, directly addressing post-secondary education expectations."
80,Social,Household,0.9,[],"The question asks about an adult household/family member being present during the interview, which pertains to household/respondent presence and household-level survey administration.",Social,Household,0.85,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Question addresses household composition and presence during crime victimization survey administration, relating to household structure and survey methodology."
82,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Household'}]","Although asking about having a checking/savings account is a financial ownership question, it appears in the Identity Theft Supplement and is used to establish potential victimization exposure, so crime is the primary focus with household/asset context secondary.",Economic,Income,0.75,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Question establishes baseline financial account ownership, which is foundational for identity theft victimization assessment and relates to financial resources."
83,Social,Crime,0.95,"[{'topic': 'Social', 'subtopic': 'Household'}]","This asks about unauthorized use of bank accounts, which is a form of victimization/crime; household context is secondary.",Social,Crime,0.95,"[{'topic': 'Economic', 'subtopic': 'Income'}]","Question directly asks about unauthorized use of financial accounts, which is a form of identity theft and financial crime victimization."
84,Social,Crime,0.95,[],"This is a timeframe follow-up about when a victimization (unauthorized account use) occurred, clearly tied to crime/victimization.",Social,Crime,0.95,[],"Question establishes temporal scope of identity theft victimization within the past 12 months, directly related to crime measurement."
85,Social,Crime,0.95,[],"This asks for the year and month of the most recent incident, a temporal detail about a crime/victimization event.",Social,Crime,0.9,[],"Question seeks specific timing of most recent identity theft incident, providing temporal detail for crime victimization data."
86,Social,Crime,0.85,"[{'topic': 'Social', 'subtopic': 'Household'}]","Though the item asks about credit card ownership (a financial/account question), it appears in the Identity Theft Supplement and serves to identify potential targets of financial crime, so crime is primary with household/account context secondary.",Economic,Income,0.7,"[{'topic': 'Social', 'subtopic': 'Crime'}]","Question establishes baseline credit card account ownership, foundational for assessing identity theft victimization related to financial accounts."
87,Social,Crime,0.97,"[{'topic': 'Social', 'subtopic': 'Household'}]","This directly asks whether credit card accounts were used without permission, which is clearly a victimization/crime question; household/account context is secondary.",Social,Crime,0.95,"[{'topic': 'Economic', 'subtopic': 'Income'}]","Question directly measures unauthorized credit card use, a primary form of identity theft and financial crime victimization."
