question_text,char_length,word_count,num_surveys
"Now I have some questions about what students do during school that make you feel bad or are hurtful to you. These could occur in person or using technologies, such as a phone, the Internet, or social media. We often refer to this as being bullied. During this school year, has any student bullied you? That is, has another student... Made fun of you, called you names, or insulted you, in a hurtful way? Spread rumors about you or tried to make others dislike you? Purposely shared your private information, photos, or videos in a hurtful way? Threatened you with harm? Pushed you, shoved you, tripped you, or spit on you? Tried to make you do things you did want to do, for example, give them money or other things? Excluded you from activities, social media, or other communications to hurt you? Destroyed your property on purpose?",834,147,1
"During this school year, how many days were you bullied?",56,10,1
"In that one day, how many times would you say other students did those things that made you feel bad or were hurtful to you?",124,25,1
Did you think the bullying would happen again?,46,8,1
"Thinking about the [time/times] you were bullied this school year, did more than one person do [this/these things] to you?",122,20,1
"Did these people act alone, together as a team, or both?",56,11,1
"Now I have some additional questions about the time [another student/other students] {behavior1}, {behavior2}, and {behaviorx…}. Thinking about the [person/people] who did [this/these things] to you this school year, [Was this person/Were any of these people/Was anyone in the group] physically bigger or stronger than you?",323,46,1
[Was this person/Were any of these people/Was anyone in the group] more popular than you?,89,15,1
[Did this person/Did any of these people/Did anyone in the group] have more money than you?,91,16,1
[Did this person/Did any of these people/Did anyone in the group] have the ability to influence what other students think of you?,129,22,1
[Did this person/Did any of these people/Did anyone in the group] have more power than you in another way?,106,19,1
In what other way [did that student/did any of those students] have more power than you?,88,16,1
What was your relationship to the student when they bullied you? Were they… Your brother or sister? Your boyfriend or girlfreind at the time? Your ex-boyfriend or ex-girlfreind at the time? Another student from school?,218,35,1
"Still thinking about the [time/times] that you were bullied, where did the bullying occur? Did it occur… Read answer categories, mark all that apply  1 = In a classroom at school?  2 = In a hallway or stairwell at school?  3 = In a bathroom or locker room at school?  4 = In a gymnasium or weight room at school?  5 = In a cafeteria or lunchroom at school?  6 = Outside on school grounds?  7 = On the way to or from school such as on a school bus or at a bus stop?  8 = Online or by text?  9 = Somewhere else? – Specify",528,116,1
Where is the other place where bullying occurred?,49,8,1
Did you tell a teacher or some other adult at school about being bullied?,73,14,1
"This school year, how much has bullying had a NEGATIVE effect on: Your school work? Your relationships with friends or family? How you feel about yourself? Your physical health for example, caused injuries, gave your headaches or stomach aches?",244,39,1
"When you were bullied in school this year, did you ever think it was related to: Your race? Your religion? Your ethnic background or national origin- for example, people of Hispanic origin? Any condition you may have - such as a physical, mental, or developmental condition? Your gender? Your sexual orientation - such as gay, lesbian, bisexual, or straight? Your physical appearance?",384,62,1
"During this school year, has anyone called you an insulting or bad name at school having to do with your race, religion, ethnic background or national origin, disability, gender, or sexual orientation? We call these hate-related words.",235,37,1
"Were any of the hate-related words related to... Your race? Any disability you may have - such as physical, mental, or developmental disabilities?",146,23,1
"During this school year, have you seen any hate-related words or symbols written in school classrooms, school bathrooms, school hallways, or on the outside of your school building?",180,28,1
"During this school year, have you seen any hate-related words, pictures, videos, or symbols posted on school sponsored websites or applications? This could include any website or application the school uses on a regular basis such as Google Classroom, Schoology, or Zoom.",271,42,1
"During this school year, did you ever skip any virtual classes because you were afraid other students would do things that make you feel bad or are hurtful to you?",163,30,1
"During this school year, did you ever STAY AWAY from any of the following places because you thought someone might attack or harm you there? For example, did you ever stay away from… The shortest route to school because you thought someone might attack or harm you? The entrance into the school? Any hallways or stairs in school? Parts of the school cafeteria or lunchroom? Any school restrooms? Other places inside the school building? School parking lot? Other places on school grounds? School bus or bus stop?",512,87,1
Did you AVOID any activities at your school because you thought someone might attack or harm you?,97,17,1
Did you AVOID any classes because you thought someone might attack or harm you?,79,14,1
"Did you stay home from school because you thought someone might attack or harm you in the school building, on school property, on a school bus, or going to or from school?",171,32,1
How often are you afraid that someone will attack or harm you in the school building or on school property?,107,20,1
How often are you afraid that someone will attack or harm you on a school bus or on the way to and from school?,111,24,1
"Besides the times you are in the school building, on school property, on a school bus, or going to or from school, how often are you afraid that someone will attack or harm you?",177,34,1
"Some people bring guns, knives, or objects that can be used as weapons to school for protection. During this school year, did you ever bring the following to school or onto school grounds? A gun? A knife brought as a weapon? Some other weapon?",243,44,1
Do you know of any [other] students who have brought a gun to your school during this school year?,98,19,1
Have you actually seen another student with a gun at school during this school year?,84,15,1
"During this school year, could you have gotten a loaded gun without adult permission, either at school or away from school?",123,21,1
"Now, we'd like to know about gangs at your school. You may know these as street gangs, fighting gangs, or something else. Gangs may use common names, signs, symbols, or colors. Your answers will not be shared with anyone at your school or home. 42a. K_GANGS Are there any gangs at your school?",293,53,1
"During this school year, how often have gangs been involved in fights, attacks, or other violence at your school?",113,19,1
Have gangs been involved in the sale of drugs at your school during this school year?,85,16,1
"During this school year, across all subjects have you gotten mostly – Read answer categories 1 through 5. If student says the school uses pass/fail grading, ask which they’ve mostly gotten.",189,31,1
"During the last 4 weeks of school, did you skip any classes? Again, we would like to remind you that none of your responses will be shared with anyone at your school or home.",174,34,1
"During the last 4 weeks of school, on how many days did you skip at least one class?",84,18,1
"Thinking about the future, do you think you will... Attend school after high school, such as a college or technical school? Graduate from a 4-year college?",155,26,1
Was an adult member of the household or family present during at least part of these questions?,95,17,1
1. Have you ever had a checking or savings account in your name through a bank or financial institution?,104,19,1
2. Has anyone EVER used your checking or savings account to make a purchase or withdraw money without your permission?,118,20,1
"3. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",115,22,1
4a. Did this most recently happen in 2021 or 2020? 4b And in what month?,72,15,1
"5. Have you ever had a credit card account in your name? Include major credit cards such as a MasterCard or Visa, and credit cards through retailers, such as Kohl’s, Walmart, or Amazon. Please do not include debit cards or gift cards.",234,42,1
"6. Has anyone EVER used one or more of your credit card accounts without your permission? ONLY include times when charges actually posted to your account, regardless of whether you were reimbursed later.",203,33,1
"7. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",115,22,1
8a. Did this most recently happen in 2021 or 2020? 8b. And in what month?,73,15,1
"9a. Have you ever had at least one email account, such as Gmail or Outlook, or social media account such as Facebook or Instagram? 9b. Has anyone EVER used your email or social media account without your permission to pretend to be you?",236,43,1
"10a. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today? 10b. Email account, such as Gmail or Outlook? 10c. Social media account, such as Facebook or Instagram? 10d. Please think about the most recent time someone misused [this/one of these] account(s). 10e. And in what month? __________ Month (01-12)",363,61,1
"11. Has anyone EVER used any of your other existing accounts, without your permission, such as…",95,16,1
"12. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",116,22,1
"13. Which of the following types of your EXISTING accounts, other than credit card, bank, email, or social media accounts, did someone post charges to, take money from, or otherwise misuse? Did they misuse one or more of your… 13a. Telephone or internet accounts? 13b. Utilities accounts, such as cable, gas, or electric? 13c. Medical insurance accounts, such as Medicare or a health spending account? 13d. Entertainment accounts, such as for music, movies, or games? 13e. Online payment accounts, such as PayPal or Venmo? 13f. Some other type of account?",555,90,1
14a. Please think about the most recent time someone misused [this/one of these] existing account(s). Did this most recently happen in 2021 or 2020? 14b. And in what month?,172,29,1
"15. Has anyone EVER, without your permission, used your personal information to successfully open any NEW accounts, such as…",124,19,1
"16. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",116,22,1
"17. With this next question, I’m going to read a list of 11 NEW accounts someone may have successfully opened using your personal information without your permission during the past 12 months. You can say yes to more than one account. 17a. New checking or savings accounts? 17b. New credit card accounts? 17c. New email accounts, such as Gmail or Outlook? 17d. New social media accounts, such as Facebook or Instagram? 17e. New telephone or internet accounts? 17f. New utilities accounts, such as cable, gas, or electric? 17g. New entertainment accounts, such as for music, movies, or games? 17h. New loans or mortgages? 17i. New insurance policies? 17j. New online payment accounts, such as PayPal or Venmo? 17k. Some other type of new account?",745,124,1
18a. Please think about the most recent time someone successfully opened [this/one of these] new account(s).,108,16,1
19. Has anyone EVER used your personal information for some other fraudulent purpose such as…,93,15,1
"20. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",116,22,1
21. In which of the following ways has someone used your personal information during the past 12 months? Was your personal information used… 21a. To file a fraudulent tax return? 21b. To get medical treatment? 21c. To apply for a job? 21d. To provide false information to the police to conceal their identity? 21e. To provide false information to some other government authority such as the Department of Motor Vehicles? 21f. To apply for government benefits? 21g. In some other way not already mentioned?,505,84,1
22a. Please think about the most recent time your personal information was misused in [this way/one of these ways]. 22b. And in what month?,139,24,1
23. You said that in someone . Was this the result of one related incident or was your personal information misused multiple times in separate unrelated incidents? An incident of identity theft occurs when your information is stolen. A stolen credit card or debit card may be used multiple times but this should be considered a single incident.,344,58,1
24. You said that in someone . Were these the result of one related incident or was your personal information misused multiple times in separate unrelated incidents? An incident of identity theft occurs when your information is stolen. A stolen credit card or debit card may be used multiple times but this should be considered a single incident.,346,58,1
25. Which of these misuses of your personal information happened during the most recent incident?,97,15,1
26. How did you FIRST find out about the most recent incident of misuse of your personal information?,101,18,1
27. In what year and month did you first discover that someone had misused your personal information?,101,17,1
28. How long had your personal information been misused before you discovered it?,81,13,1
"29. Do you have any idea HOW your personal information was obtained, even if you are not completely certain?",108,19,1
30. How do you think your personal information was obtained?,60,10,1
"31. Were you in contact with anyone at a credit card company, bank, credit union, or other financial institution about misuse of your personal information?",155,25,1
32. Did you contact a credit bureau about the misuse of your personal information?,82,14,1
"33. At any credit bureau that you contacted, did you...",55,10,1
"34. After you told a credit bureau that your personal information had been misused, how satisfied were you with the credit bureau’s response? Were you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",231,34,1
"35. Did you contact any law enforcement agencies, such as the local police, a sheriff’s office or a federal law enforcement agency, to report misuse of your personal information?",178,29,1
36. Did the law enforcement agency take a police report from you about the misuse of your personal information?,111,19,1
37. Did you receive a copy of that police report? 37a. Did you send a copy of that police report to the credit bureau that you contacted?,137,27,1
"38. How satisfied were you with the law enforcement agency’s response when you reported the misuse of your personal information? Were you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",218,31,1
39. Why were you dissatisfied with the law enforcement agency’s response?,73,11,1
40. We would like to learn more about why people who experience identity theft do not report it to law enforcement. Why did you decide not to contact a law enforcement agency?,175,32,1
"41. Next, I'm going to read you a list of other people and organizations that someone might contact when their personal information is misused. Which of the following people or organizations, if any, did you contact about misuse of your personal information? Did you... a.Contact the business or organization associated with the misuse? b.Hire a lawyer? c. Contact a State or local government consumer affairs agency, such as the State Attorney General's office? d.Contact the Federal Trade Commission? e.Contact a nongovernment consumer agency, such as the Better Business Bureau or the National Consumer League? f. Contact a government agency that issues documents like driver's licenses or Social Security cards? g.Contact a nongovernment agency that issues documents, such as insurance cards? h.Contact a credit monitoring service or identity theft insurance company? i. Contact an office or agency – other than the police – that deals with victims of crime? j. Contact some other group or organization not already mentioned?",1029,158,1
"42. The misuse of personal information affects people in different ways. Next, I would like to ask you some questions about how misuse of your personal information may have affected you. Did the misuse of your personal information lead you to have significant problems with your job or schoolwork or trouble with your boss, co-workers, or peers?",345,57,1
"43. Did the misuse of your personal information lead you to have significant problems with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before?",279,49,1
"44. How distressing was the misuse of your personal information to you? Was it not at all distressing, mildly distressing, moderately distressing, or severely distressing?",171,25,1
45. Did you feel any of the following ways for A MONTH OR MORE because of misuse of your personal information? a. Worried or anxious? b. Angry? c. Sad or depressed? d. Vulnerable? e. Violated? f. Like you couldn’t trust people? g. Unsafe? h. Some other way?,257,47,1
46a. Did you seek any kind of professional help for the feelings you experienced as a result of misuse of your personal information?,132,23,1
47. Did you experience any of the following physical problems caused by misuse of your personal information for A MONTH OR MORE? Did you experience... a. Headaches? b. Trouble sleeping? c. Changes in your eating or drinking habits? d. Upset stomach? e. Fatigue? f. High blood pressure? g. Muscle tension or back pain? h. Some other problem?,340,57,1
48. Did you seek any kind of professional or medical help for the physical problems you just reported?,102,18,1
49. What kind of professional or medical help did you seek?,59,11,1
"50. Do you know, or have you learned, anything at all about the person or persons who misused your personal information?",120,21,1
"51. How well did you know this person or these people at the time of the incident? For example, was it a family member, friend, acquaintance, salesperson, or somebody else?",172,30,1
"52. What is the approximate total dollar value of what someone obtained when they misused your personal information ? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",224,36,1
"53. Of this that was obtained during misuse of your personal information, how much of that money did you personally lose? That is, how much did you lose that was not covered or reimbursed by insurance, bank, or credit card company?",231,41,1
"54a. Other than the costs you already told me about, , how much, IF ANY, additional costs did YOU incur as a result of misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages. 54b. How much, IF ANY, costs did YOU incur during misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",574,98,1
55. Have you been successful in clearing up all of the financial and credit problems associated with misuse of your personal information?,137,22,1
56. How long did it take you to clear up all of the financial and credit problems associated with the misuse after you discovered it?,133,25,1
57. How many hours clearing up financial or credit problems associated with misuse of your personal information?,112,17,1
"58. Other than anything we have already talked about, have you experienced any of the following problems as a result of misuse of your personal information? Have you… a. Had credit related problems, such as having to repeatedly correct the same information on your credit report, being turned down for credit or loans, changes in your credit score, or having to pay higher rates? b. Had banking problems, such as being turned down for a checking account or having checks bounce? c. Had debt collectors or collections departments contact you? d. Had utilities cut off or been denied new service? e. Been turned down for a job or lost a job? f. Had a lawsuit filed against you? g. Been the subject of an arrest or criminal proceedings? h. Had some other type of problems?",769,135,1
"59. For the next few questions, please think about ALL of the misuses of your personal information during the last year, that is, since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR]. Including every incident that occurred over the past 12 months, not just the most recent, what is the approximate total dollar value of what someone obtained while misusing your personal information? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",485,80,1
"60. Not counting the dollars that were obtained during ALL incidents of identity theft in the past 12 months, what were the total additional costs, that YOU incurred as a result of the misuses of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",388,65,1
"61. Not including the past 12 months, has anyone EVER, without your permission:",79,13,1
"62. At any point during the past 12 months did you experience credit or other financial problems, legal problems, relationship problems with family or friends, problems at work or school, physical problems, or emotional distress as a result of the identity theft that happened to you more than 12 months ago?",308,51,1
"63. During the past 12 months, have you experienced any of the following consequences as a result of the identity theft that occurred more than 12 months ago? Have you had… a.Significant problems with your job or schoolwork, or trouble with your boss, co-workers, or peers during the past 12 months? b.Significant problems during the past 12 months with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before? c. Experienced any of the following feelings for a month or more during the past 12 months: worry, anger, sadness or depression, vulnerability, feeling violated, like you couldn’t trust people, or feeling that you were unsafe? d.Had physical problems during the past 12 months resulting from the misuse of your personal information, such as headaches, trouble sleeping, changes in your eating or drinking habits, an upset stomach, high blood pressure or some other physical problem? e.Had credit related problems during the past 12 months, such as having to repeatedly correct the same information on your credit report, being turned down for credit, loans or having to pay higher rates? f. Had banking problems during the past 12 months, such as being turned down for a checking account or having checks bounce? g. Had debt collectors or collections departments contact you during the past 12 months? h. Had utilities cut off or been denied new service during the past 12 months? i. Been turned down for a job or lost a job during the past 12 months? j. Had legal problems, such as having a lawsuit filed against you or being the subject of an arrest or criminal proceedings, during the past 12 months? k. Had some other type of problems during the past 12 months?",1808,308,1
"64. Now I’m going to ask you about any actions taken to prevent someone from obtaining your personal information. In the past 12 months, that is since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR], have you: a. Checked your credit report? b. Changed passwords on any of your financial accounts? c. Purchased identity theft protection from a company that offers protection services? d. Purchased credit monitoring or identity theft insurance? e. Shredded or destroyed documents containing your personal information? f. Checked your banking or credit card statements for unfamiliar charges? g. Used security software program on your computer to protect against loss of credit cards/card theft?",687,107,1
"65. You said that during the past 12 months, you . Did you take any of these actions as a result of previous misuse of your personal information?",145,28,1
66. You said that during the past 12 months you: . Which actions did you take in direct response to any previous misuse of your personal information?,149,27,1
"67. My final questions involve organizations that may have your personal information in their files. During the past 12 months, did a company, government agency, or some other organization that has your personal information: a. Notify you or announce publicly that some or all of their files or data may have been stolen, lost, or posted on a publicly available website? b. Did they notify you directly that YOUR personal information may have been stolen, lost, or posted on a publicly available website?",504,83,1
68. Did this personal information include your Social Security number?,70,10,1
"SQ1. In the past 12 months, have you experienced any unwanted contacts or behaviors? By that I mean… SQ_FOLLOWED a. Has anyone followed you around and watched you? b. Has anyone snuck into your home, car, or any place else and done unwanted things to let you know they had been there? c. Has anyone waited for you at your home, work, school, or any place else when you didn't want them to? d. Has anyone shown up, ridden or driven by places where you were when they had no business being there? f. Has anyone harassed or repeatedly asked your friends or family for information about you or your whereabouts? g. Has anyone made unwanted phone calls to you, left voice messages, sent text messages, or used the phone excessivley to contact you? h. Has anyone spied on you or monitored your activities using technologies such as a listening device, camera, or computer or cell phone monitoring software? i. Has anyone tracked your whereabouts with an electronic tracking device or application, such as GPS or an application on your cell phone? j. Has anyone posted or threatened to post inappropriate, unwanted, or personal information about you on the internet, including private photographs, videos, or spreading rumors? k. Has anyone sent you unwanted e-mails or messages using the Internet, for example, using social media apps or websites like Instagram, Twitter, or Facebook? I. Has anyone monitored your activities using social media apps like Instagram, Twitter, or Facebook?",1480,247,1
"SQ_SOCIALMEDIA l. Has anyone monitored your activities using social media apps like Instagram, Twitter, or Facebook?",116,16,1
SQ_REPETITION SQ2. Has anyone done (this/any of these things) to you more than once in the past 12 months?,106,19,1
SQ_FEAR SQ3a. Did any of these unwanted contacts or behaviors make you fear for your safety or the safety of someone close to you?,130,24,1
SQ_DISTRESS SQ3b. Did any of these unwanted contacts or behaviors cause you substantial emotional distress?,107,15,1
SQ_PROPERTY SQ4. Did this person or these people damage or attempt to damage or destroy property belonging to you or someone else in your household?,148,25,1
SQ5. [Thinking about the person or persons who committed these unwanted contacts or behaviors in the past 12 months…] Did this person or these people… SQ_ATTACK_SELF Physically attack you? Attempt to physically attack you? Threaten to physically attack you?,257,39,1
SQ6. [Thinking about the person or persons who committed these unwanted contacts or behaviors in the past 12 months…] Did this person or these people… SQ_ATTACK_OTH Physically attack someone close to you or a pet? Attempt to physically attack someone close to you or a pet? Threaten to physically attack someone close to you or a pet?,334,57,1
"OFFENDER_NUMB OFFENDER_NUMBSP Q1. Thinking about the unwanted contacts or behaviors you experienced in the past 12 months, how many different people have done these things to you?",179,27,1
OFFENDER_ACT Q2a. Did these people act alone or together as a team?,67,12,1
"OFFENDER_MOST Q2b. Of the people who did these things to you, is there ONE person who you would consider to be the MOST responsible for these unwanted contacts or behaviors? Is this person male or female? How old would you say this person is? Is this person Hispanic or Latino? What race or races is this person? You may select more than one. Is this person...",360,66,1
OFFENDER1_REL OFFENDER1_RELSP OFFENDER1_NONSP Q7. What was your relationship to the person who committed these unwanted contacts or behaviors when they first began?,164,22,1
OFFENDERS_SEX Q8a. Are these people male or female?,51,8,1
OFFENDERS_SEX2 Q8b. Are most of these people male or female?,60,10,1
OFFENDERS_AGE Q9. How old would you say these people are?,57,10,1
OFFENDERS_HISP Q10a. Are any of these people Hispanic or Latino?,64,10,1
"OFFENDERS_HISP2 Q10b. Are most of these people Hispanic, non-Hispanic, or are there an equal number of Hispanic and non-Hispanic people?",136,20,1
OFFENDERS_RACE Q11a. What race or races are these people? Are they…,67,11,1
OFFENDERS_RACE_MOST Q11b. What race are most of these people?,61,9,1
OFFENDERS_REL OFFENDERS_RELSP OFFENDERS_NONSP Q12. What was your relationship to the people who committed these unwanted contacts or behaviors when they first began?,165,22,1
OFFENDERS_EACH OFFENDERS_EACHSP Q13. How do the people who committed these unwanted contacts or behaviors know each other? Are they…,132,19,1
INC_DURATION Q14a. How long have these unwanted contacts or behaviors been happening to you?,92,14,1
INC_DISCOVER Q14b. How did you find out that these unwanted contacts or behaviors were happening to you?,104,17,1
"INC_TIMES Q15. In the past 12 months, how many times would you say these unwanted contacts or behaviors occurred? Would you say…",128,22,1
"Q16. With this next question, I’m going to read a list of 9 possible reasons (this person/these people) started doing these things to you. You can say yes to more than one reason. Do you think it was because… INC_REVENGE They wanted retaliation or revenge? They wanted affection? They felt rejected? They were obsessed with you? THey planned to commit a crime? They had already committed a crime? They wanted power and control? They felt like they could do these things to you? Any other reason?",495,86,1
"Q17a. Earlier you indicated that (this person/these people) physically attacked or attempted to physically attack you. Did they attack or attempt to attack you… INC_HIT By hitting, slapping, pushing, or knocking you down? By choking or strangling you? By raping or sexually assaulting you? By hitting, chasing, or dragging you with a vehicle? By using a weapon or other object?",377,60,1
INC_WEAPON INC_WEAPONSP Q17b. What was the weapon or object they used to attack or attempt to attack you? Was there any other weapon or object used?,148,26,1
INC_ATTACKOTH INC_ATTACKOTHSP Q17c. Did they physically attack you in some other way?,85,12,1
"Q18a. Earlier you indicated that (this person/these people) threatened to physically attack you. Did they threaten… INC_THREAT_HIT To hit, slap, push, or knock you down? To choke or strangle you? To rape or sexually assault you? To hit, chase, or drag you with a vehicle? To kill you? To harm you with a weapon or other object?",327,57,1
INC_THREAT_WEAPON INC_THREAT_WEAPONSP Q18b. What was the weapon or object they threatened to use? Was there any other weapon or object that they threatened to use?,163,25,1
INC_THREAT_ATTACKOTH INC_THREAT_ATTACKOTHSP Q18c. Did they threaten to physically attack you in some other way?,111,14,1
Q19a. Earlier you indicated that (this person/these people) physically attacked or attempted to physically attack someone close to you or a pet. Was it… INC_ATTACK_CHILD A child? A spouse or partner? A boyfriend or girlfriend? Another family member? A friend or co-worker? A pet or companion animal? Someone else?,313,49,1
Q19b. Earlier you indicated that (this person/these people) threatened to physically attack someone close to you or a pet. Was it… INC_THREAT_CHILD A child? A spouse or partner? A boyfriend or girlfriend? Another family member? A friend or co-worker? A pet or companion animal? Himself/herself (offender)? Someone else?,319,48,1
ASSIST_CALL Q20. During the past 12 months did you or someone else call or contact the police to report any of the unwanted contacts or behaviors you experienced?,162,28,1
ASSIST_NOTREPORT ASSIST_NOTREPORTSP Q21. What was the reason these unwanted contacts or behaviors were not reported to the police?,130,18,1
"ASSIST_YESREPORT ASSIST_YESREPORTSP Q22. During the past 12 months, who reported these unwanted contacts or behaviors to the police? Anyone else?",145,20,1
"ASSIST_ACTION ASSIST_ACTIONSP Q23. Taking into account all of the times the police were contacted in the past 12 months regarding these unwanted contacts or behaviors, what did the police do? Anything else?",206,32,1
ASSIST_NOACTION ASSIST_NOACTIONSP Q24. Why do you think the police took no action? Any other reason?,100,15,1
ASSIST_CHARGES Q25a. Were criminal charges filed against the (person/persons) who committed the unwanted contacts or behaviors you experienced? Q25b. What were the criminal charges filed?,187,25,1
ASSIST_OUTCOME ASSIST_OUTCOMESP Q26. What was the final outcome of the criminal charges filed against the (person/persons) who committed these unwanted contacts or behaviors? Anything else?,189,25,1
"ASSIST_AGENCYSEEK Q27. In the past 12 months, did you seek any help or advice concerning these unwanted contacts or behaviors from any office or agency – other than police – that assists victims of crime?",204,35,1
ASSIST_AGENCYHELP Q28a. Did you receive any services or assistance from this or these offices or agencies?,106,16,1
