question_id,question_text,survey_key
Q0024,What are the other school clubs or school activities you participated in?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0025,"Does your school have: Security guards or assigned police officers? Other adults supervisiing the hallway, such as teachers, administrators, or volunteers? Metal detectors, including wands? Locked entrance or exit doors during the day? A requirement that visitors sign in AND wear visitor badges or stickers? Locker checks? A requirement that students wear badges or picture identification? One or more security cameras to monitor the school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0026,"Does your school have a code of student conduct, that is, a set of written rules or guidelines that the school provides to you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0027,"If you hear about a threat to school or student safety, do you have a way to report it without having to give your name? Probe: Do you have a way to report a threat, such as an anonymous drop box or hotline?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0028,"In your classes, how often are you distracted from doing your schoolwork because other students are misbehaving, for example, talking or fighting?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0029,"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? The school rules are fair. The punishment for breaking school rules is the same no matter who you are. The School rules are strictly enforced. If a school rule is broken, students know what kind of punishment will follow. Teachers treat students with respect.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0030,"Thinking about the teachers and staff at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a TEACHER or other ADULT at school who… Really cares about you. Listens to you when you have something to say. tells you when you do a good job.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0031,"Thinking about the students at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a STUDENT at school who… Really cares about you. Believes that you will be a success.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0032,"Thinking about the neighborhood where YOU LIVE, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a lot of crime in the neighborhood where YOU LIVE.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0033,"Thinking about the neighborhood where YOUR SCHOOL is located, would you strongly agree, agree, disagree, or strongly disagree with the following...? There is a lot of crime in the neighborhood where YOU go to SCHOOL.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0034,"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? You feel safe in your school.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0035,"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were attending virtual school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0036,"Is it possible for students to get any of the following while at school… Alcoholic beverages? Marijuana, also known as pot or weed? Heroin or prescription painkillers illegally obtained without a prescription, such as Codeine, Percocet, or fentanyl? These are also known as opoids. Other prescription drugs illegally obtained without a prescription, such as Xanax, Ritalin, or Adderall? Other illegal drugs, such as cocaine, uppers, or crystal meth?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0037,"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were at school [IF E_ATTENDSCHOOL_VIRTUAL = “Yes” FILL: or during virtual classes]?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0038,"During this school year, have you been in one or more physical fights at school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0039,"During this school year, how many times have you been in a physical fight at school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0040,"Now I have some questions about what students do during school that make you feel bad or are hurtful to you. These could occur in person or using technologies, such as a phone, the Internet, or social media. We often refer to this as being bullied. During this school year, has any student bullied you? That is, has another student... Made fun of you, called you names, or insulted you, in a hurtful way? Spread rumors about you or tried to make others dislike you? Purposely shared your private information, photos, or videos in a hurtful way? Threatened you with harm? Pushed you, shoved you, tripped you, or spit on you? Tried to make you do things you did want to do, for example, give them money or other things? Excluded you from activities, social media, or other communications to hurt you? Destroyed your property on purpose?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0041,"During this school year, how many days were you bullied?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0042,"In that one day, how many times would you say other students did those things that made you feel bad or were hurtful to you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0043,Did you think the bullying would happen again?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0044,"Thinking about the [time/times] you were bullied this school year, did more than one person do [this/these things] to you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0045,"Did these people act alone, together as a team, or both?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0046,"Now I have some additional questions about the time [another student/other students] {behavior1}, {behavior2}, and {behaviorx…}. Thinking about the [person/people] who did [this/these things] to you this school year, [Was this person/Were any of these people/Was anyone in the group] physically bigger or stronger than you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0047,[Was this person/Were any of these people/Was anyone in the group] more popular than you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0048,[Did this person/Did any of these people/Did anyone in the group] have more money than you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0049,[Did this person/Did any of these people/Did anyone in the group] have the ability to influence what other students think of you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0050,[Did this person/Did any of these people/Did anyone in the group] have more power than you in another way?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0051,In what other way [did that student/did any of those students] have more power than you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0052,What was your relationship to the student when they bullied you? Were they… Your brother or sister? Your boyfriend or girlfreind at the time? Your ex-boyfriend or ex-girlfreind at the time? Another student from school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0053,"Still thinking about the [time/times] that you were bullied, where did the bullying occur? Did it occur… Read answer categories, mark all that apply  1 = In a classroom at school?  2 = In a hallway or stairwell at school?  3 = In a bathroom or locker room at school?  4 = In a gymnasium or weight room at school?  5 = In a cafeteria or lunchroom at school?  6 = Outside on school grounds?  7 = On the way to or from school such as on a school bus or at a bus stop?  8 = Online or by text?  9 = Somewhere else? – Specify",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0054,Where is the other place where bullying occurred?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0055,Did you tell a teacher or some other adult at school about being bullied?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0056,"This school year, how much has bullying had a NEGATIVE effect on: Your school work? Your relationships with friends or family? How you feel about yourself? Your physical health for example, caused injuries, gave your headaches or stomach aches?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0057,"When you were bullied in school this year, did you ever think it was related to: Your race? Your religion? Your ethnic background or national origin- for example, people of Hispanic origin? Any condition you may have - such as a physical, mental, or developmental condition? Your gender? Your sexual orientation - such as gay, lesbian, bisexual, or straight? Your physical appearance?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0058,"During this school year, has anyone called you an insulting or bad name at school having to do with your race, religion, ethnic background or national origin, disability, gender, or sexual orientation? We call these hate-related words.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0059,"Were any of the hate-related words related to... Your race? Any disability you may have - such as physical, mental, or developmental disabilities?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0060,"During this school year, have you seen any hate-related words or symbols written in school classrooms, school bathrooms, school hallways, or on the outside of your school building?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0061,"During this school year, have you seen any hate-related words, pictures, videos, or symbols posted on school sponsored websites or applications? This could include any website or application the school uses on a regular basis such as Google Classroom, Schoology, or Zoom.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0062,"During this school year, did you ever skip any virtual classes because you were afraid other students would do things that make you feel bad or are hurtful to you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0063,"During this school year, did you ever STAY AWAY from any of the following places because you thought someone might attack or harm you there? For example, did you ever stay away from… The shortest route to school because you thought someone might attack or harm you? The entrance into the school? Any hallways or stairs in school? Parts of the school cafeteria or lunchroom? Any school restrooms? Other places inside the school building? School parking lot? Other places on school grounds? School bus or bus stop?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0064,Did you AVOID any activities at your school because you thought someone might attack or harm you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0065,Did you AVOID any classes because you thought someone might attack or harm you?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0066,"Did you stay home from school because you thought someone might attack or harm you in the school building, on school property, on a school bus, or going to or from school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0067,How often are you afraid that someone will attack or harm you in the school building or on school property?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0068,How often are you afraid that someone will attack or harm you on a school bus or on the way to and from school?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0069,"Besides the times you are in the school building, on school property, on a school bus, or going to or from school, how often are you afraid that someone will attack or harm you?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0070,"Some people bring guns, knives, or objects that can be used as weapons to school for protection. During this school year, did you ever bring the following to school or onto school grounds? A gun? A knife brought as a weapon? Some other weapon?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0071,Do you know of any [other] students who have brought a gun to your school during this school year?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0072,Have you actually seen another student with a gun at school during this school year?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0073,"During this school year, could you have gotten a loaded gun without adult permission, either at school or away from school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0074,"Now, we'd like to know about gangs at your school. You may know these as street gangs, fighting gangs, or something else. Gangs may use common names, signs, symbols, or colors. Your answers will not be shared with anyone at your school or home. 42a. K_GANGS Are there any gangs at your school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0075,"During this school year, how often have gangs been involved in fights, attacks, or other violence at your school?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0076,Have gangs been involved in the sale of drugs at your school during this school year?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0077,"During this school year, across all subjects have you gotten mostly – Read answer categories 1 through 5. If student says the school uses pass/fail grading, ask which they’ve mostly gotten.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0078,"During the last 4 weeks of school, did you skip any classes? Again, we would like to remind you that none of your responses will be shared with anyone at your school or home.",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0079,"During the last 4 weeks of school, on how many days did you skip at least one class?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0080,"Thinking about the future, do you think you will... Attend school after high school, such as a college or technical school? Graduate from a 4-year college?",School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0081,Was an adult member of the household or family present during at least part of these questions?,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS)
Q0083,1. Have you ever had a checking or savings account in your name through a bank or financial institution?,Identity Theft Supplement (ITS)
Q0084,2. Has anyone EVER used your checking or savings account to make a purchase or withdraw money without your permission?,Identity Theft Supplement (ITS)
Q0085,"3. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",Identity Theft Supplement (ITS)
Q0086,4a. Did this most recently happen in 2021 or 2020? 4b And in what month?,Identity Theft Supplement (ITS)
Q0087,"5. Have you ever had a credit card account in your name? Include major credit cards such as a MasterCard or Visa, and credit cards through retailers, such as Kohl’s, Walmart, or Amazon. Please do not include debit cards or gift cards.",Identity Theft Supplement (ITS)
Q0088,"6. Has anyone EVER used one or more of your credit card accounts without your permission? ONLY include times when charges actually posted to your account, regardless of whether you were reimbursed later.",Identity Theft Supplement (ITS)
Q0089,"7. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",Identity Theft Supplement (ITS)
Q0090,8a. Did this most recently happen in 2021 or 2020? 8b. And in what month?,Identity Theft Supplement (ITS)
Q0091,"9a. Have you ever had at least one email account, such as Gmail or Outlook, or social media account such as Facebook or Instagram? 9b. Has anyone EVER used your email or social media account without your permission to pretend to be you?",Identity Theft Supplement (ITS)
Q0092,"10a. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today? 10b. Email account, such as Gmail or Outlook? 10c. Social media account, such as Facebook or Instagram? 10d. Please think about the most recent time someone misused [this/one of these] account(s). 10e. And in what month? __________ Month (01-12)",Identity Theft Supplement (ITS)
Q0093,"11. Has anyone EVER used any of your other existing accounts, without your permission, such as…",Identity Theft Supplement (ITS)
Q0094,"12. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",Identity Theft Supplement (ITS)
Q0095,"13. Which of the following types of your EXISTING accounts, other than credit card, bank, email, or social media accounts, did someone post charges to, take money from, or otherwise misuse? Did they misuse one or more of your… 13a. Telephone or internet accounts? 13b. Utilities accounts, such as cable, gas, or electric? 13c. Medical insurance accounts, such as Medicare or a health spending account? 13d. Entertainment accounts, such as for music, movies, or games? 13e. Online payment accounts, such as PayPal or Venmo? 13f. Some other type of account?",Identity Theft Supplement (ITS)
Q0096,14a. Please think about the most recent time someone misused [this/one of these] existing account(s). Did this most recently happen in 2021 or 2020? 14b. And in what month?,Identity Theft Supplement (ITS)
Q0097,"15. Has anyone EVER, without your permission, used your personal information to successfully open any NEW accounts, such as…",Identity Theft Supplement (ITS)
Q0098,"16. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",Identity Theft Supplement (ITS)
Q0099,"17. With this next question, I’m going to read a list of 11 NEW accounts someone may have successfully opened using your personal information without your permission during the past 12 months. You can say yes to more than one account. 17a. New checking or savings accounts? 17b. New credit card accounts? 17c. New email accounts, such as Gmail or Outlook? 17d. New social media accounts, such as Facebook or Instagram? 17e. New telephone or internet accounts? 17f. New utilities accounts, such as cable, gas, or electric? 17g. New entertainment accounts, such as for music, movies, or games? 17h. New loans or mortgages? 17i. New insurance policies? 17j. New online payment accounts, such as PayPal or Venmo? 17k. Some other type of new account?",Identity Theft Supplement (ITS)
Q0100,18a. Please think about the most recent time someone successfully opened [this/one of these] new account(s).,Identity Theft Supplement (ITS)
Q0101,19. Has anyone EVER used your personal information for some other fraudulent purpose such as…,Identity Theft Supplement (ITS)
Q0102,"20. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",Identity Theft Supplement (ITS)
Q0103,21. In which of the following ways has someone used your personal information during the past 12 months? Was your personal information used… 21a. To file a fraudulent tax return? 21b. To get medical treatment? 21c. To apply for a job? 21d. To provide false information to the police to conceal their identity? 21e. To provide false information to some other government authority such as the Department of Motor Vehicles? 21f. To apply for government benefits? 21g. In some other way not already mentioned?,Identity Theft Supplement (ITS)
Q0104,22a. Please think about the most recent time your personal information was misused in [this way/one of these ways]. 22b. And in what month?,Identity Theft Supplement (ITS)
Q0105,23. You said that in someone . Was this the result of one related incident or was your personal information misused multiple times in separate unrelated incidents? An incident of identity theft occurs when your information is stolen. A stolen credit card or debit card may be used multiple times but this should be considered a single incident.,Identity Theft Supplement (ITS)
Q0106,24. You said that in someone . Were these the result of one related incident or was your personal information misused multiple times in separate unrelated incidents? An incident of identity theft occurs when your information is stolen. A stolen credit card or debit card may be used multiple times but this should be considered a single incident.,Identity Theft Supplement (ITS)
Q0107,25. Which of these misuses of your personal information happened during the most recent incident?,Identity Theft Supplement (ITS)
Q0108,26. How did you FIRST find out about the most recent incident of misuse of your personal information?,Identity Theft Supplement (ITS)
Q0109,27. In what year and month did you first discover that someone had misused your personal information?,Identity Theft Supplement (ITS)
Q0110,28. How long had your personal information been misused before you discovered it?,Identity Theft Supplement (ITS)
Q0111,"29. Do you have any idea HOW your personal information was obtained, even if you are not completely certain?",Identity Theft Supplement (ITS)
Q0112,30. How do you think your personal information was obtained?,Identity Theft Supplement (ITS)
Q0113,"31. Were you in contact with anyone at a credit card company, bank, credit union, or other financial institution about misuse of your personal information?",Identity Theft Supplement (ITS)
Q0114,32. Did you contact a credit bureau about the misuse of your personal information?,Identity Theft Supplement (ITS)
Q0115,"33. At any credit bureau that you contacted, did you...",Identity Theft Supplement (ITS)
Q0116,"34. After you told a credit bureau that your personal information had been misused, how satisfied were you with the credit bureau’s response? Were you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",Identity Theft Supplement (ITS)
Q0117,"35. Did you contact any law enforcement agencies, such as the local police, a sheriff’s office or a federal law enforcement agency, to report misuse of your personal information?",Identity Theft Supplement (ITS)
Q0118,36. Did the law enforcement agency take a police report from you about the misuse of your personal information?,Identity Theft Supplement (ITS)
Q0119,37. Did you receive a copy of that police report? 37a. Did you send a copy of that police report to the credit bureau that you contacted?,Identity Theft Supplement (ITS)
Q0120,"38. How satisfied were you with the law enforcement agency’s response when you reported the misuse of your personal information? Were you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",Identity Theft Supplement (ITS)
Q0121,39. Why were you dissatisfied with the law enforcement agency’s response?,Identity Theft Supplement (ITS)
Q0122,40. We would like to learn more about why people who experience identity theft do not report it to law enforcement. Why did you decide not to contact a law enforcement agency?,Identity Theft Supplement (ITS)
Q0123,"41. Next, I'm going to read you a list of other people and organizations that someone might contact when their personal information is misused. Which of the following people or organizations, if any, did you contact about misuse of your personal information? Did you... a.Contact the business or organization associated with the misuse? b.Hire a lawyer? c. Contact a State or local government consumer affairs agency, such as the State Attorney General's office? d.Contact the Federal Trade Commission? e.Contact a nongovernment consumer agency, such as the Better Business Bureau or the National Consumer League? f. Contact a government agency that issues documents like driver's licenses or Social Security cards? g.Contact a nongovernment agency that issues documents, such as insurance cards? h.Contact a credit monitoring service or identity theft insurance company? i. Contact an office or agency – other than the police – that deals with victims of crime? j. Contact some other group or organization not already mentioned?",Identity Theft Supplement (ITS)
Q0124,"42. The misuse of personal information affects people in different ways. Next, I would like to ask you some questions about how misuse of your personal information may have affected you. Did the misuse of your personal information lead you to have significant problems with your job or schoolwork or trouble with your boss, co-workers, or peers?",Identity Theft Supplement (ITS)
Q0125,"43. Did the misuse of your personal information lead you to have significant problems with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before?",Identity Theft Supplement (ITS)
Q0126,"44. How distressing was the misuse of your personal information to you? Was it not at all distressing, mildly distressing, moderately distressing, or severely distressing?",Identity Theft Supplement (ITS)
Q0127,45. Did you feel any of the following ways for A MONTH OR MORE because of misuse of your personal information? a. Worried or anxious? b. Angry? c. Sad or depressed? d. Vulnerable? e. Violated? f. Like you couldn’t trust people? g. Unsafe? h. Some other way?,Identity Theft Supplement (ITS)
Q0128,46a. Did you seek any kind of professional help for the feelings you experienced as a result of misuse of your personal information?,Identity Theft Supplement (ITS)
Q0129,47. Did you experience any of the following physical problems caused by misuse of your personal information for A MONTH OR MORE? Did you experience... a. Headaches? b. Trouble sleeping? c. Changes in your eating or drinking habits? d. Upset stomach? e. Fatigue? f. High blood pressure? g. Muscle tension or back pain? h. Some other problem?,Identity Theft Supplement (ITS)
Q0130,48. Did you seek any kind of professional or medical help for the physical problems you just reported?,Identity Theft Supplement (ITS)
Q0131,49. What kind of professional or medical help did you seek?,Identity Theft Supplement (ITS)
Q0132,"50. Do you know, or have you learned, anything at all about the person or persons who misused your personal information?",Identity Theft Supplement (ITS)
Q0133,"51. How well did you know this person or these people at the time of the incident? For example, was it a family member, friend, acquaintance, salesperson, or somebody else?",Identity Theft Supplement (ITS)
Q0134,"52. What is the approximate total dollar value of what someone obtained when they misused your personal information ? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",Identity Theft Supplement (ITS)
Q0136,"53. Of this that was obtained during misuse of your personal information, how much of that money did you personally lose? That is, how much did you lose that was not covered or reimbursed by insurance, bank, or credit card company?",Identity Theft Supplement (ITS)
Q0137,"54a. Other than the costs you already told me about, , how much, IF ANY, additional costs did YOU incur as a result of misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages. 54b. How much, IF ANY, costs did YOU incur during misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",Identity Theft Supplement (ITS)
Q0138,55. Have you been successful in clearing up all of the financial and credit problems associated with misuse of your personal information?,Identity Theft Supplement (ITS)
Q0139,56. How long did it take you to clear up all of the financial and credit problems associated with the misuse after you discovered it?,Identity Theft Supplement (ITS)
Q0140,57. How many hours clearing up financial or credit problems associated with misuse of your personal information?,Identity Theft Supplement (ITS)
Q0141,"58. Other than anything we have already talked about, have you experienced any of the following problems as a result of misuse of your personal information? Have you… a. Had credit related problems, such as having to repeatedly correct the same information on your credit report, being turned down for credit or loans, changes in your credit score, or having to pay higher rates? b. Had banking problems, such as being turned down for a checking account or having checks bounce? c. Had debt collectors or collections departments contact you? d. Had utilities cut off or been denied new service? e. Been turned down for a job or lost a job? f. Had a lawsuit filed against you? g. Been the subject of an arrest or criminal proceedings? h. Had some other type of problems?",Identity Theft Supplement (ITS)
Q0142,"59. For the next few questions, please think about ALL of the misuses of your personal information during the last year, that is, since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR]. Including every incident that occurred over the past 12 months, not just the most recent, what is the approximate total dollar value of what someone obtained while misusing your personal information? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",Identity Theft Supplement (ITS)
Q0143,"60. Not counting the dollars that were obtained during ALL incidents of identity theft in the past 12 months, what were the total additional costs, that YOU incurred as a result of the misuses of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",Identity Theft Supplement (ITS)
Q0144,"61. Not including the past 12 months, has anyone EVER, without your permission:",Identity Theft Supplement (ITS)
Q0145,"62. At any point during the past 12 months did you experience credit or other financial problems, legal problems, relationship problems with family or friends, problems at work or school, physical problems, or emotional distress as a result of the identity theft that happened to you more than 12 months ago?",Identity Theft Supplement (ITS)
Q0146,"63. During the past 12 months, have you experienced any of the following consequences as a result of the identity theft that occurred more than 12 months ago? Have you had… a.Significant problems with your job or schoolwork, or trouble with your boss, co-workers, or peers during the past 12 months? b.Significant problems during the past 12 months with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before? c. Experienced any of the following feelings for a month or more during the past 12 months: worry, anger, sadness or depression, vulnerability, feeling violated, like you couldn’t trust people, or feeling that you were unsafe? d.Had physical problems during the past 12 months resulting from the misuse of your personal information, such as headaches, trouble sleeping, changes in your eating or drinking habits, an upset stomach, high blood pressure or some other physical problem? e.Had credit related problems during the past 12 months, such as having to repeatedly correct the same information on your credit report, being turned down for credit, loans or having to pay higher rates? f. Had banking problems during the past 12 months, such as being turned down for a checking account or having checks bounce? g. Had debt collectors or collections departments contact you during the past 12 months? h. Had utilities cut off or been denied new service during the past 12 months? i. Been turned down for a job or lost a job during the past 12 months? j. Had legal problems, such as having a lawsuit filed against you or being the subject of an arrest or criminal proceedings, during the past 12 months? k. Had some other type of problems during the past 12 months?",Identity Theft Supplement (ITS)
Q0147,"64. Now I’m going to ask you about any actions taken to prevent someone from obtaining your personal information. In the past 12 months, that is since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR], have you: a. Checked your credit report? b. Changed passwords on any of your financial accounts? c. Purchased identity theft protection from a company that offers protection services? d. Purchased credit monitoring or identity theft insurance? e. Shredded or destroyed documents containing your personal information? f. Checked your banking or credit card statements for unfamiliar charges? g. Used security software program on your computer to protect against loss of credit cards/card theft?",Identity Theft Supplement (ITS)
Q0148,"65. You said that during the past 12 months, you . Did you take any of these actions as a result of previous misuse of your personal information?",Identity Theft Supplement (ITS)
Q0149,66. You said that during the past 12 months you: . Which actions did you take in direct response to any previous misuse of your personal information?,Identity Theft Supplement (ITS)
