Question,School Crime Supplement (SCS)/National Crime Victimization Survey (NCVS),Identity Theft Supplement (ITS),Supplemental Victimization Survey (SVS),National Survey of Children’s Health (NSCH),"National Survey of Children's Health Topical Questionaire (Children, 0-5 years)","National Survey of Children's Health Topical Questionaire (Chilren, 6-11)","National Survey of Children's Health Topical Questionaire (Children, 12-17)",National Sample Survey of Registered Nurses (NSSRN),National Teacher and Principal Survey (NTPS) School Questionnaire,National Teacher and Principal Survey (NTPS) Private School Questionnaire,National Teacher and Principal Survey (NTPS) Principal Questionnaire,National Teacher and Principal Survey (NTPS) Private School Principal Questionnaire,National Teacher and Principal Survey (NTPS) Teacher Questionnaire,National Teacher and Principal Survey (NTPS) Private School Teacher Questionnaire,Teacher Follow-up Survey (TFS) Former Teacher Survey,Teacher Follow-Up Survey (TFS) Current Teacher Survey,Principal Follow-up Survey (PFS),Principal Follow-Up Survey School Head/Principal Status Form,School Pulse Panel (SPP),Private School Survey (PSS),National Ambulatory Medical Care Survey (NAMCS),National Health Interview Survey (NHIS),"National Training, Education, and Workforce Survey (NTEWS)",National Survey of College Graduates (NSCG),American Time Use Survey (ATUS),Consumer Expenditure Survey (CE),American Community Survey (ACS),Survey of Income and Program Participation (SIPP),Household Trends and Outlook Pulse Survey (HTOPS),Current Population Survey (CPS),School Survey on Crime and Safety (SSOCS),Census Military Panel (CMP),American Housing Survey (AHS),Survey of Market Absorption (SOMA),Food Acquisition and Purchase Survey (FoodAPS) Initial Interview/Household Survey,Food Acquisition and Purchase Survey (FoodAPS) Profile and Income Questionnaire,Food Acquisition and Purchase Survey (FoodAPS) Debriefing Questionnaire,FoodAPS food Log,Survey of State Government Finances Finances of Insurance Trust Systems,Report of Building or Zoning Permits issued for new privately-ownd housing units,Survey of Residential Building or Zoning Permit Systems,Business and Professional Classifcation Report,Business Enterprise Research and Development Survey,Medical Expenditure Panel Survey Insurance Component
Specify the other month that school year began,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what state is your school located?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what county is your school located?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what city is your school located?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the complete name of your school?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is your school public or private?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is this the regular school that most of the students in your neighborhood attend?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Is your school affiliated with a religion?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the lowest grade taught in your school?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What is the highest grade taught in your school?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When you attend school in person, how do you get to school most of the time this school year?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When you attend school in person, how do you get home from school most of the time this school year?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, have you participated in any of the following activities sponsored by your school: Spirit groups, for example, Cheerleading, Dance Team, or Pep Club? Athletic teams at school? Performing arts, for example Band, Choir, Orhcestra, or Drama? Academic clubs, for example, Debate Team, honor Society, Spanish Club, Math Club, or Computer Club? Class council or Student government, also known as SGA? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, or Recycling Club? Volunteer or community service clubs sponsored by your school, for example, Peer Mediators, Environmental Club, Key Club, or Interact? Do not include community service hours required for graduation. Other School clubs or schoool activities?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What are the other school clubs or school activities you participated in?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Does your school have: Security guards or assigned police officers? Other adults supervisiing the hallway, such as teachers, administrators, or volunteers? Metal detectors, including wands? Locked entrance or exit doors during the day? A requirement that visitors sign in AND wear visitor badges or stickers? Locker checks? A requirement that students wear badges or picture identification? One or more security cameras to monitor the school?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Does your school have a code of student conduct, that is, a set of written rules or guidelines that the school provides to you?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you hear about a threat to school or student safety, do you have a way to report it without having to give your name? Probe: Do you have a way to report a threat, such as an anonymous drop box or hotline?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In your classes, how often are you distracted from doing your schoolwork because other students are misbehaving, for example, talking or fighting?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? The school rules are fair. The punishment for breaking school rules is the same no matter who you are. The School rules are strictly enforced. If a school rule is broken, students know what kind of punishment will follow. Teachers treat students with respect.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking about the teachers and staff at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a TEACHER or other ADULT at school who… Really cares about you. Listens to you when you have something to say. tells you when you do a good job.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking about the students at your school, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a STUDENT at school who… Really cares about you. Believes that you will be a success.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking about the neighborhood where YOU LIVE, would you strongly agree, agree, disagree, or strongly disagree with the following…? There is a lot of crime in the neighborhood where YOU LIVE.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking about the neighborhood where YOUR SCHOOL is located, would you strongly agree, agree, disagree, or strongly disagree with the following...? There is a lot of crime in the neighborhood where YOU go to SCHOOL.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking about your school, would you strongly agree, agree, disagree, or strongly disagree with the following...? You feel safe in your school.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were attending virtual school?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Is it possible for students to get any of the following while at school… Alcoholic beverages? Marijuana, also known as pot or weed? Heroin or prescription painkillers illegally obtained without a prescription, such as Codeine, Percocet, or fentanyl? These are also known as opoids. Other prescription drugs illegally obtained without a prescription, such as Xanax, Ritalin, or Adderall? Other illegal drugs, such as cocaine, uppers, or crystal meth?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, did you see another student who was under the influence of illegal drugs or alcohol while they were at school [IF E_ATTENDSCHOOL_VIRTUAL = “Yes” FILL: or during virtual classes]?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, have you been in one or more physical fights at school?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, how many times have you been in a physical fight at school?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Now I have some questions about what students do during school that make you feel bad or are hurtful to you. These could occur in person or using technologies, such as a phone, the Internet, or social media. We often refer to this as being bullied. During this school year, has any student bullied you? That is, has another student... Made fun of you, called you names, or insulted you, in a hurtful way? Spread rumors about you or tried to make others dislike you? Purposely shared your private information, photos, or videos in a hurtful way? Threatened you with harm? Pushed you, shoved you, tripped you, or spit on you? Tried to make you do things you did want to do, for example, give them money or other things? Excluded you from activities, social media, or other communications to hurt you? Destroyed your property on purpose?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, how many days were you bullied?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In that one day, how many times would you say other students did those things that made you feel bad or were hurtful to you?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you think the bullying would happen again?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking about the [time/times] you were bullied this school year, did more than one person do [this/these things] to you?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Did these people act alone, together as a team, or both?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Now I have some additional questions about the time [another student/other students] {behavior1}, {behavior2}, and {behaviorx…}. Thinking about the [person/people] who did [this/these things] to you this school year, [Was this person/Were any of these people/Was anyone in the group] physically bigger or stronger than you?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Was this person/Were any of these people/Was anyone in the group] more popular than you?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Did this person/Did any of these people/Did anyone in the group] have more money than you?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Did this person/Did any of these people/Did anyone in the group] have the ability to influence what other students think of you?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Did this person/Did any of these people/Did anyone in the group] have more power than you in another way?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In what other way [did that student/did any of those students] have more power than you?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What was your relationship to the student when they bullied you? Were they… Your brother or sister? Your boyfriend or girlfreind at the time? Your ex-boyfriend or ex-girlfreind at the time? Another student from school?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Still thinking about the [time/times] that you were bullied, where did the bullying occur? Did it occur… Read answer categories, mark all that apply  1 = In a classroom at school?  2 = In a hallway or stairwell at school?  3 = In a bathroom or locker room at school?  4 = In a gymnasium or weight room at school?  5 = In a cafeteria or lunchroom at school?  6 = Outside on school grounds?  7 = On the way to or from school such as on a school bus or at a bus stop?  8 = Online or by text?  9 = Somewhere else? – Specify",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where is the other place where bullying occurred?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you tell a teacher or some other adult at school about being bullied?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This school year, how much has bullying had a NEGATIVE effect on: Your school work? Your relationships with friends or family? How you feel about yourself? Your physical health for example, caused injuries, gave your headaches or stomach aches?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"When you were bullied in school this year, did you ever think it was related to: Your race? Your religion? Your ethnic background or national origin- for example, people of Hispanic origin? Any condition you may have - such as a physical, mental, or developmental condition? Your gender? Your sexual orientation - such as gay, lesbian, bisexual, or straight? Your physical appearance?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, has anyone called you an insulting or bad name at school having to do with your race, religion, ethnic background or national origin, disability, gender, or sexual orientation? We call these hate-related words.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Were any of the hate-related words related to... Your race? Any disability you may have - such as physical, mental, or developmental disabilities?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, have you seen any hate-related words or symbols written in school classrooms, school bathrooms, school hallways, or on the outside of your school building?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, have you seen any hate-related words, pictures, videos, or symbols posted on school sponsored websites or applications? This could include any website or application the school uses on a regular basis such as Google Classroom, Schoology, or Zoom.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, did you ever skip any virtual classes because you were afraid other students would do things that make you feel bad or are hurtful to you?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, did you ever STAY AWAY from any of the following places because you thought someone might attack or harm you there? For example, did you ever stay away from… The shortest route to school because you thought someone might attack or harm you? The entrance into the school? Any hallways or stairs in school? Parts of the school cafeteria or lunchroom? Any school restrooms? Other places inside the school building? School parking lot? Other places on school grounds? School bus or bus stop?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you AVOID any activities at your school because you thought someone might attack or harm you?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Did you AVOID any classes because you thought someone might attack or harm you?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Did you stay home from school because you thought someone might attack or harm you in the school building, on school property, on a school bus, or going to or from school?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How often are you afraid that someone will attack or harm you in the school building or on school property?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
How often are you afraid that someone will attack or harm you on a school bus or on the way to and from school?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Besides the times you are in the school building, on school property, on a school bus, or going to or from school, how often are you afraid that someone will attack or harm you?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Some people bring guns, knives, or objects that can be used as weapons to school for protection. During this school year, did you ever bring the following to school or onto school grounds? A gun? A knife brought as a weapon? Some other weapon?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Do you know of any [other] students who have brought a gun to your school during this school year?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have you actually seen another student with a gun at school during this school year?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, could you have gotten a loaded gun without adult permission, either at school or away from school?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Now, we'd like to know about gangs at your school. You may know these as street gangs, fighting gangs, or something else. Gangs may use common names, signs, symbols, or colors. Your answers will not be shared with anyone at your school or home. 42a. K_GANGS Are there any gangs at your school?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, how often have gangs been involved in fights, attacks, or other violence at your school?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Have gangs been involved in the sale of drugs at your school during this school year?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During this school year, across all subjects have you gotten mostly – Read answer categories 1 through 5. If student says the school uses pass/fail grading, ask which they’ve mostly gotten.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During the last 4 weeks of school, did you skip any classes? Again, we would like to remind you that none of your responses will be shared with anyone at your school or home.",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"During the last 4 weeks of school, on how many days did you skip at least one class?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thinking about the future, do you think you will... Attend school after high school, such as a college or technical school? Graduate from a 4-year college?",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Was an adult member of the household or family present during at least part of these questions?,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Have you ever had a checking or savings account in your name through a bank or financial institution?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2. Has anyone EVER used your checking or savings account to make a purchase or withdraw money without your permission?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4a. Did this most recently happen in 2021 or 2020? 4b And in what month?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5. Have you ever had a credit card account in your name? Include major credit cards such as a MasterCard or Visa, and credit cards through retailers, such as Kohl’s, Walmart, or Amazon. Please do not include debit cards or gift cards.",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6. Has anyone EVER used one or more of your credit card accounts without your permission? ONLY include times when charges actually posted to your account, regardless of whether you were reimbursed later.",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8a. Did this most recently happen in 2021 or 2020? 8b. And in what month?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9a. Have you ever had at least one email account, such as Gmail or Outlook, or social media account such as Facebook or Instagram? 9b. Has anyone EVER used your email or social media account without your permission to pretend to be you?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10a. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today? 10b. Email account, such as Gmail or Outlook? 10c. Social media account, such as Facebook or Instagram? 10d. Please think about the most recent time someone misused [this/one of these] account(s). 10e. And in what month? __________ Month (01-12)",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11. Has anyone EVER used any of your other existing accounts, without your permission, such as…",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"12. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"13. Which of the following types of your EXISTING accounts, other than credit card, bank, email, or social media accounts, did someone post charges to, take money from, or otherwise misuse? Did they misuse one or more of your… 13a. Telephone or internet accounts? 13b. Utilities accounts, such as cable, gas, or electric? 13c. Medical insurance accounts, such as Medicare or a health spending account? 13d. Entertainment accounts, such as for music, movies, or games? 13e. Online payment accounts, such as PayPal or Venmo? 13f. Some other type of account?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14a. Please think about the most recent time someone misused [this/one of these] existing account(s). Did this most recently happen in 2021 or 2020? 14b. And in what month?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15. Has anyone EVER, without your permission, used your personal information to successfully open any NEW accounts, such as…",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"16. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"17. With this next question, I’m going to read a list of 11 NEW accounts someone may have successfully opened using your personal information without your permission during the past 12 months. You can say yes to more than one account. 17a. New checking or savings accounts? 17b. New credit card accounts? 17c. New email accounts, such as Gmail or Outlook? 17d. New social media accounts, such as Facebook or Instagram? 17e. New telephone or internet accounts? 17f. New utilities accounts, such as cable, gas, or electric? 17g. New entertainment accounts, such as for music, movies, or games? 17h. New loans or mortgages? 17i. New insurance policies? 17j. New online payment accounts, such as PayPal or Venmo? 17k. Some other type of new account?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18a. Please think about the most recent time someone successfully opened [this/one of these] new account(s).,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19. Has anyone EVER used your personal information for some other fraudulent purpose such as…,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21. In which of the following ways has someone used your personal information during the past 12 months? Was your personal information used… 21a. To file a fraudulent tax return? 21b. To get medical treatment? 21c. To apply for a job? 21d. To provide false information to the police to conceal their identity? 21e. To provide false information to some other government authority such as the Department of Motor Vehicles? 21f. To apply for government benefits? 21g. In some other way not already mentioned?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22a. Please think about the most recent time your personal information was misused in [this way/one of these ways]. 22b. And in what month?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23. You said that in someone . Was this the result of one related incident or was your personal information misused multiple times in separate unrelated incidents? An incident of identity theft occurs when your information is stolen. A stolen credit card or debit card may be used multiple times but this should be considered a single incident.,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24. You said that in someone . Were these the result of one related incident or was your personal information misused multiple times in separate unrelated incidents? An incident of identity theft occurs when your information is stolen. A stolen credit card or debit card may be used multiple times but this should be considered a single incident.,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25. Which of these misuses of your personal information happened during the most recent incident?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26. How did you FIRST find out about the most recent incident of misuse of your personal information?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27. In what year and month did you first discover that someone had misused your personal information?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28. How long had your personal information been misused before you discovered it?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29. Do you have any idea HOW your personal information was obtained, even if you are not completely certain?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30. How do you think your personal information was obtained?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31. Were you in contact with anyone at a credit card company, bank, credit union, or other financial institution about misuse of your personal information?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32. Did you contact a credit bureau about the misuse of your personal information?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33. At any credit bureau that you contacted, did you...",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34. After you told a credit bureau that your personal information had been misused, how satisfied were you with the credit bureau’s response? Were you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35. Did you contact any law enforcement agencies, such as the local police, a sheriff’s office or a federal law enforcement agency, to report misuse of your personal information?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36. Did the law enforcement agency take a police report from you about the misuse of your personal information?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37. Did you receive a copy of that police report? 37a. Did you send a copy of that police report to the credit bureau that you contacted?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38. How satisfied were you with the law enforcement agency’s response when you reported the misuse of your personal information? Were you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39. Why were you dissatisfied with the law enforcement agency’s response?,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
