question_id,question_text,embedding_index
67,How often are you afraid that someone will attack or harm you in the school building or on school property?,66
68,How often are you afraid that someone will attack or harm you on a school bus or on the way to and from school?,67
69,"Besides the times you are in the school building, on school property, on a school bus, or going to or from school, how often are you afraid that someone will attack or harm you?",68
70,"Some people bring guns, knives, or objects that can be used as weapons to school for protection. During this school year, did you ever bring the following to school or onto school grounds? A gun? A knife brought as a weapon? Some other weapon? ",69
71,Do you know of any [other] students who have brought a gun to your school during this school year?,70
72,Have you actually seen another student with a gun at school during this school year?,71
73,"During this school year, could you have gotten a loaded gun without adult permission, either at school or away from school?",72
74,"Now, we'd like to know about gangs at your school. You may know these as street gangs, fighting gangs, or something else. Gangs may use common names, signs, symbols, or colors. Your answers will not be shared with anyone at your school or home. 42a. K_GANGS Are there any gangs at your school?",73
75,"During this school year, how often have gangs been involved in fights, attacks, or other violence at your school?",74
76,Have gangs been involved in the sale of drugs at your school during this school year?,75
77,"During this school year, across all subjects have you gotten mostly – Read answer categories 1 through 5. If student says the school uses pass/fail grading, ask which they’ve mostly gotten.",76
78,"During the last 4 weeks of school, did you skip any classes? Again, we would like to remind you that none of your responses will be shared with anyone at your school or home.",77
79,"During the last 4 weeks of school, on how many days did you skip at least one class?",78
80,"Thinking about the future, do you think you will... Attend school after high school, such as a college or technical school? Graduate from a 4-year college?",79
81,Was an adult member of the household or family present during at least part of these questions?,80
82,1. Have you ever had a checking or savings account in your name through a bank or financial institution?,81
83,2. Has anyone EVER used your checking or savings account to make a purchase or withdraw money without your permission?,82
84,"3. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",83
85,4a. Did this most recently happen in 2021 or 2020? 4b And in what month?,84
86,"5. Have you ever had a credit card account in your name? Include major credit cards such as a MasterCard or Visa, and credit cards through retailers, such as Kohl’s, Walmart, or Amazon. Please do not include debit cards or gift cards.",85
87,"6. Has anyone EVER used one or more of your credit card accounts without your permission? ONLY include times when charges actually posted to your account, regardless of whether you were reimbursed later.",86
88,"7. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",87
89,8a. Did this most recently happen in 2021 or 2020? 8b. And in what month?,88
90,"9a. Have you ever had at least one email account, such as Gmail or Outlook, or social media account such as Facebook or Instagram? 9b. Has anyone EVER used your email or social media account without your permission to pretend to be you?",89
91,"10a. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today? 10b. Email account, such as Gmail or Outlook? 10c. Social media account, such as Facebook or Instagram? 10d. Please think about the most recent time someone misused [this/one of these] account(s). 10e. And in what month? __________ Month (01-12)",90
92,"11. Has anyone EVER used any of your other existing accounts, without your permission, such as…",91
93,"12. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",92
94,"13. Which of the following types of your EXISTING accounts, other than credit card, bank, email, or social media accounts, did someone post charges to, take money from, or otherwise misuse? Did they misuse one or more of your… 13a. Telephone or internet accounts? 13b. Utilities accounts, such as cable, gas, or electric? 13c. Medical insurance accounts, such as Medicare or a health spending account? 13d. Entertainment accounts, such as for music, movies, or games? 13e. Online payment accounts, such as PayPal or Venmo? 13f. Some other type of account?",93
95,14a. Please think about the most recent time someone misused [this/one of these] existing account(s). Did this most recently happen in 2021 or 2020? 14b. And in what month?,94
96,"15. Has anyone EVER, without your permission, used your personal information to successfully open any NEW accounts, such as…",95
97,"16. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",96
98,"17. With this next question, I’m going to read a list of 11 NEW accounts someone may have successfully opened using your personal information without your permission during the past 12 months. You can say yes to more than one account. 17a. New checking or savings accounts? 17b. New credit card accounts? 17c. New email accounts, such as Gmail or Outlook? 17d. New social media accounts, such as Facebook or Instagram? 17e. New telephone or internet accounts? 17f. New utilities accounts, such as cable, gas, or electric? 17g. New entertainment accounts, such as for music, movies, or games? 17h. New loans or mortgages? 17i. New insurance policies? 17j. New online payment accounts, such as PayPal or Venmo? 17k. Some other type of new account?",97
99,18a. Please think about the most recent time someone successfully opened [this/one of these] new account(s).,98
100,19. Has anyone EVER used your personal information for some other fraudulent purpose such as…,99
101,"20. Has this happened during the past 12 months, that is from [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR] until today?",100
102,21. In which of the following ways has someone used your personal information during the past 12 months? Was your personal information used… 21a. To file a fraudulent tax return? 21b. To get medical treatment? 21c. To apply for a job? 21d. To provide false information to the police to conceal their identity? 21e. To provide false information to some other government authority such as the Department of Motor Vehicles? 21f. To apply for government benefits? 21g. In some other way not already mentioned?,101
103,22a. Please think about the most recent time your personal information was misused in [this way/one of these ways]. 22b. And in what month?,102
104,23. You said that in someone . Was this the result of one related incident or was your personal information misused multiple times in separate unrelated incidents? An incident of identity theft occurs when your information is stolen. A stolen credit card or debit card may be used multiple times but this should be considered a single incident.,103
105,24. You said that in someone . Were these the result of one related incident or was your personal information misused multiple times in separate unrelated incidents? An incident of identity theft occurs when your information is stolen. A stolen credit card or debit card may be used multiple times but this should be considered a single incident.,104
106,25. Which of these misuses of your personal information happened during the most recent incident?,105
107,26. How did you FIRST find out about the most recent incident of misuse of your personal information?,106
108,27. In what year and month did you first discover that someone had misused your personal information?,107
109,28. How long had your personal information been misused before you discovered it?,108
110,"29. Do you have any idea HOW your personal information was obtained, even if you are not completely certain?",109
111,30. How do you think your personal information was obtained?,110
112,"31. Were you in contact with anyone at a credit card company, bank, credit union, or other financial institution about misuse of your personal information?",111
113,32. Did you contact a credit bureau about the misuse of your personal information?,112
114,"33. At any credit bureau that you contacted, did you...",113
115,"34. After you told a credit bureau that your personal information had been misused, how satisfied were you with the credit bureau’s response? Were you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",114
116,"35. Did you contact any law enforcement agencies, such as the local police, a sheriff’s office or a federal law enforcement agency, to report misuse of your personal information?",115
117,36. Did the law enforcement agency take a police report from you about the misuse of your personal information?,116
118,37. Did you receive a copy of that police report? 37a. Did you send a copy of that police report to the credit bureau that you contacted?,117
119,"38. How satisfied were you with the law enforcement agency’s response when you reported the misuse of your personal information? Were you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",118
120,39. Why were you dissatisfied with the law enforcement agency’s response?,119
121,40. We would like to learn more about why people who experience identity theft do not report it to law enforcement. Why did you decide not to contact a law enforcement agency?,120
122,"41. Next, I'm going to read you a list of other people and organizations that someone might contact when their personal information is misused. Which of the following people or organizations, if any, did you contact about misuse of your personal information? Did you... a.Contact the business or organization associated with the misuse? b.Hire a lawyer? c. Contact a State or local government consumer affairs agency, such as the State Attorney General's office? d.Contact the Federal Trade Commission? e.Contact a nongovernment consumer agency, such as the Better Business Bureau or the National Consumer League? f. Contact a government agency that issues documents like driver's licenses or Social Security cards? g.Contact a nongovernment agency that issues documents, such as insurance cards? h.Contact a credit monitoring service or identity theft insurance company? i. Contact an office or agency – other than the police – that deals with victims of crime? j. Contact some other group or organization not already mentioned?",121
123,"42. The misuse of personal information affects people in different ways. Next, I would like to ask you some questions about how misuse of your personal information may have affected you. Did the misuse of your personal information lead you to have significant problems with your job or schoolwork or trouble with your boss, co-workers, or peers?",122
124,"43. Did the misuse of your personal information lead you to have significant problems with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before?",123
125,"44. How distressing was the misuse of your personal information to you? Was it not at all distressing, mildly distressing, moderately distressing, or severely distressing?",124
126,45. Did you feel any of the following ways for A MONTH OR MORE because of misuse of your personal information? a. Worried or anxious? b. Angry? c. Sad or depressed? d. Vulnerable? e. Violated? f. Like you couldn’t trust people? g. Unsafe? h. Some other way?,125
127,46a. Did you seek any kind of professional help for the feelings you experienced as a result of misuse of your personal information?,126
128,47. Did you experience any of the following physical problems caused by misuse of your personal information for A MONTH OR MORE? Did you experience... a. Headaches? b. Trouble sleeping? c. Changes in your eating or drinking habits? d. Upset stomach? e. Fatigue? f. High blood pressure? g. Muscle tension or back pain? h. Some other problem?,127
129,48. Did you seek any kind of professional or medical help for the physical problems you just reported?,128
130,49. What kind of professional or medical help did you seek?,129
131,"50. Do you know, or have you learned, anything at all about the person or persons who misused your personal information?",130
132,"51. How well did you know this person or these people at the time of the incident? For example, was it a family member, friend, acquaintance, salesperson, or somebody else?",131
133,"52. What is the approximate total dollar value of what someone obtained when they misused your personal information ? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",132
134,"53. Of this that was obtained during misuse of your personal information, how much of that money did you personally lose? That is, how much did you lose that was not covered or reimbursed by insurance, bank, or credit card company?",133
135,"54a. Other than the costs you already told me about, , how much, IF ANY, additional costs did YOU incur as a result of misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages. 54b. How much, IF ANY, costs did YOU incur during misuse of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",134
136,55. Have you been successful in clearing up all of the financial and credit problems associated with misuse of your personal information?,135
137,56. How long did it take you to clear up all of the financial and credit problems associated with the misuse after you discovered it?,136
138,57. How many hours clearing up financial or credit problems associated with misuse of your personal information?,137
139,"58. Other than anything we have already talked about, have you experienced any of the following problems as a result of misuse of your personal information? Have you… a. Had credit related problems, such as having to repeatedly correct the same information on your credit report, being turned down for credit or loans, changes in your credit score, or having to pay higher rates? b. Had banking problems, such as being turned down for a checking account or having checks bounce? c. Had debt collectors or collections departments contact you? d. Had utilities cut off or been denied new service? e. Been turned down for a job or lost a job? f. Had a lawsuit filed against you? g. Been the subject of an arrest or criminal proceedings? h. Had some other type of problems?",138
140,"59. For the next few questions, please think about ALL of the misuses of your personal information during the last year, that is, since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR]. Including every incident that occurred over the past 12 months, not just the most recent, what is the approximate total dollar value of what someone obtained while misusing your personal information? Include the value of goods, services, credit, loans, cash, and anything else the person may have obtained.",139
141,"60. Not counting the dollars that were obtained during ALL incidents of identity theft in the past 12 months, what were the total additional costs, that YOU incurred as a result of the misuses of your personal information? Include costs for things such as legal fees, overdraft fees, and any miscellaneous expenses, such as postage, phone calls, or notary fees. Do not include lost wages.",140
142,"61. Not including the past 12 months, has anyone EVER, without your permission:",141
143,"62. At any point during the past 12 months did you experience credit or other financial problems, legal problems, relationship problems with family or friends, problems at work or school, physical problems, or emotional distress as a result of the identity theft that happened to you more than 12 months ago?",142
144,"63. During the past 12 months, have you experienced any of the following consequences as a result of the identity theft that occurred more than 12 months ago? Have you had… a.Significant problems with your job or schoolwork, or trouble with your boss, co-workers, or peers during the past 12 months? b.Significant problems during the past 12 months with family members or friends, including getting into more arguments or fights than you did before, not feeling you could trust them as much, or not feeling as close to them as you did before? c. Experienced any of the following feelings for a month or more during the past 12 months: worry, anger, sadness or depression, vulnerability, feeling violated, like you couldn’t trust people, or feeling that you were unsafe? d.Had physical problems during the past 12 months resulting from the misuse of your personal information, such as headaches, trouble sleeping, changes in your eating or drinking habits, an upset stomach, high blood pressure or some other physical problem? e.Had credit related problems during the past 12 months, such as having to repeatedly correct the same information on your credit report, being turned down for credit, loans or having to pay higher rates? f. Had banking problems during the past 12 months, such as being turned down for a checking account or having checks bounce? g. Had debt collectors or collections departments contact you during the past 12 months? h. Had utilities cut off or been denied new service during the past 12 months? i. Been turned down for a job or lost a job during the past 12 months? j. Had legal problems, such as having a lawsuit filed against you or being the subject of an arrest or criminal proceedings, during the past 12 months? k. Had some other type of problems during the past 12 months?",143
145,"64. Now I’m going to ask you about any actions taken to prevent someone from obtaining your personal information. In the past 12 months, that is since [AUTOFILL DATE 1st OF MONTH 1 YEAR PRIOR], have you: a. Checked your credit report? b. Changed passwords on any of your financial accounts? c. Purchased identity theft protection from a company that offers protection services? d. Purchased credit monitoring or identity theft insurance? e. Shredded or destroyed documents containing your personal information? f. Checked your banking or credit card statements for unfamiliar charges? g. Used security software program on your computer to protect against loss of credit cards/card theft?",144
146,"65. You said that during the past 12 months, you . Did you take any of these actions as a result of previous misuse of your personal information?",145
147,66. You said that during the past 12 months you: . Which actions did you take in direct response to any previous misuse of your personal information?,146
148,"67. My final questions involve organizations that may have your personal information in their files. During the past 12 months, did a company, government agency, or some other organization that has your personal information: a. Notify you or announce publicly that some or all of their files or data may have been stolen, lost, or posted on a publicly available website? b. Did they notify you directly that YOUR personal information may have been stolen, lost, or posted on a publicly available website?",147
149,68. Did this personal information include your Social Security number?,148
150,"SQ1. In the past 12 months, have you experienced any unwanted contacts or behaviors? By that I mean… SQ_FOLLOWED a. Has anyone followed you around and watched you? b. Has anyone snuck into your home, car, or any place else and done unwanted things to let you know they had been there? c. Has anyone waited for you at your home, work, school, or any place else when you didn't want them to? d. Has anyone shown up, ridden or driven by places where you were when they had no business being there? f. Has anyone harassed or repeatedly asked your friends or family for information about you or your whereabouts? g. Has anyone made unwanted phone calls to you, left voice messages, sent text messages, or used the phone excessivley to contact you? h. Has anyone spied on you or monitored your activities using technologies such as a listening device, camera, or computer or cell phone monitoring software? i. Has anyone tracked your whereabouts with an electronic tracking device or application, such as GPS or an application on your cell phone? j. Has anyone posted or threatened to post inappropriate, unwanted, or personal information about you on the internet, including private photographs, videos, or spreading rumors? k. Has anyone sent you unwanted e-mails or messages using the Internet, for example, using social media apps or websites like Instagram, Twitter, or Facebook? I. Has anyone monitored your activities using social media apps like Instagram, Twitter, or Facebook?",149
151,"SQ_SOCIALMEDIA l. Has anyone monitored your activities using social media apps like Instagram, Twitter, or Facebook?",150
152,SQ_REPETITION SQ2. Has anyone done (this/any of these things) to you more than once in the past 12 months?,151
153,SQ_FEAR SQ3a. Did any of these unwanted contacts or behaviors make you fear for your safety or the safety of someone close to you?,152
154,SQ_DISTRESS SQ3b. Did any of these unwanted contacts or behaviors cause you substantial emotional distress?,153
155,SQ_PROPERTY SQ4. Did this person or these people damage or attempt to damage or destroy property belonging to you or someone else in your household?,154
156,SQ5. [Thinking about the person or persons who committed these unwanted contacts or behaviors in the past 12 months…] Did this person or these people… SQ_ATTACK_SELF Physically attack you? Attempt to physically attack you? Threaten to physically attack you?,155
157,SQ6. [Thinking about the person or persons who committed these unwanted contacts or behaviors in the past 12 months…] Did this person or these people… SQ_ATTACK_OTH Physically attack someone close to you or a pet? Attempt to physically attack someone close to you or a pet? Threaten to physically attack someone close to you or a pet?,156
158,"OFFENDER_NUMB OFFENDER_NUMBSP Q1. Thinking about the unwanted contacts or behaviors you experienced in the past 12 months, how many different people have done these things to you?",157
159,OFFENDER_ACT Q2a. Did these people act alone or together as a team?,158
160,"OFFENDER_MOST Q2b. Of the people who did these things to you, is there ONE person who you would consider to be the MOST responsible for these unwanted contacts or behaviors? Is this person male or female? How old would you say this person is? Is this person Hispanic or Latino? What race or races is this person? You may select more than one. Is this person...",159
161,OFFENDER1_REL OFFENDER1_RELSP OFFENDER1_NONSP Q7. What was your relationship to the person who committed these unwanted contacts or behaviors when they first began?,160
162,OFFENDERS_SEX Q8a. Are these people male or female?,161
163,OFFENDERS_SEX2 Q8b. Are most of these people male or female?,162
164,OFFENDERS_AGE Q9. How old would you say these people are?,163
165,OFFENDERS_HISP Q10a. Are any of these people Hispanic or Latino?,164
166,"OFFENDERS_HISP2 Q10b. Are most of these people Hispanic, non-Hispanic, or are there an equal number of Hispanic and non-Hispanic people?",165
167,OFFENDERS_RACE Q11a. What race or races are these people? Are they…,166
168,OFFENDERS_RACE_MOST Q11b. What race are most of these people?,167
169,OFFENDERS_REL OFFENDERS_RELSP OFFENDERS_NONSP Q12. What was your relationship to the people who committed these unwanted contacts or behaviors when they first began?,168
170,OFFENDERS_EACH OFFENDERS_EACHSP Q13. How do the people who committed these unwanted contacts or behaviors know each other? Are they…,169
171,INC_DURATION Q14a. How long have these unwanted contacts or behaviors been happening to you?,170
172,INC_DISCOVER Q14b. How did you find out that these unwanted contacts or behaviors were happening to you?,171
173,"INC_TIMES Q15. In the past 12 months, how many times would you say these unwanted contacts or behaviors occurred? Would you say…",172
174,"Q16. With this next question, I’m going to read a list of 9 possible reasons (this person/these people) started doing these things to you. You can say yes to more than one reason. Do you think it was because… INC_REVENGE They wanted retaliation or revenge? They wanted affection? They felt rejected? They were obsessed with you? THey planned to commit a crime? They had already committed a crime? They wanted power and control? They felt like they could do these things to you? Any other reason?",173
175,"Q17a. Earlier you indicated that (this person/these people) physically attacked or attempted to physically attack you. Did they attack or attempt to attack you… INC_HIT By hitting, slapping, pushing, or knocking you down? By choking or strangling you? By raping or sexually assaulting you? By hitting, chasing, or dragging you with a vehicle? By using a weapon or other object?",174
176,INC_WEAPON INC_WEAPONSP Q17b. What was the weapon or object they used to attack or attempt to attack you? Was there any other weapon or object used?,175
177,INC_ATTACKOTH INC_ATTACKOTHSP Q17c. Did they physically attack you in some other way?,176
178,"Q18a. Earlier you indicated that (this person/these people) threatened to physically attack you. Did they threaten… INC_THREAT_HIT To hit, slap, push, or knock you down? To choke or strangle you? To rape or sexually assault you? To hit, chase, or drag you with a vehicle? To kill you? To harm you with a weapon or other object?",177
179,INC_THREAT_WEAPON INC_THREAT_WEAPONSP Q18b. What was the weapon or object they threatened to use? Was there any other weapon or object that they threatened to use?,178
180,INC_THREAT_ATTACKOTH INC_THREAT_ATTACKOTHSP Q18c. Did they threaten to physically attack you in some other way?,179
181,Q19a. Earlier you indicated that (this person/these people) physically attacked or attempted to physically attack someone close to you or a pet. Was it… INC_ATTACK_CHILD A child? A spouse or partner? A boyfriend or girlfriend? Another family member? A friend or co-worker? A pet or companion animal? Someone else?,180
182,Q19b. Earlier you indicated that (this person/these people) threatened to physically attack someone close to you or a pet. Was it… INC_THREAT_CHILD A child? A spouse or partner? A boyfriend or girlfriend? Another family member? A friend or co-worker? A pet or companion animal? Himself/herself (offender)? Someone else?,181
183,ASSIST_CALL Q20. During the past 12 months did you or someone else call or contact the police to report any of the unwanted contacts or behaviors you experienced?,182
184,ASSIST_NOTREPORT ASSIST_NOTREPORTSP Q21. What was the reason these unwanted contacts or behaviors were not reported to the police?,183
185,"ASSIST_YESREPORT ASSIST_YESREPORTSP Q22. During the past 12 months, who reported these unwanted contacts or behaviors to the police? Anyone else?",184
186,"ASSIST_ACTION ASSIST_ACTIONSP Q23. Taking into account all of the times the police were contacted in the past 12 months regarding these unwanted contacts or behaviors, what did the police do? Anything else?",185
187,ASSIST_NOACTION ASSIST_NOACTIONSP Q24. Why do you think the police took no action? Any other reason?,186
188,ASSIST_CHARGES Q25a. Were criminal charges filed against the (person/persons) who committed the unwanted contacts or behaviors you experienced? Q25b. What were the criminal charges filed?,187
189,ASSIST_OUTCOME ASSIST_OUTCOMESP Q26. What was the final outcome of the criminal charges filed against the (person/persons) who committed these unwanted contacts or behaviors? Anything else?,188
190,"ASSIST_AGENCYSEEK Q27. In the past 12 months, did you seek any help or advice concerning these unwanted contacts or behaviors from any office or agency – other than police – that assists victims of crime?",189
191,ASSIST_AGENCYHELP Q28a. Did you receive any services or assistance from this or these offices or agencies?,190
192,"Q28b. With this next question, I’m going to read a list of 11 different types of services or assistance you may have received. You can say yes to more than one type. Did you receive… ASSIST_HOTLINE Crisis hotline counseling? Counseling or therapy? Assistance getting a restraining, protection, or no-contact order? Legal or court services? Federal or state victim compensation? Short term or emergency financial assistance? Shelter or safehouse services? Safety planning? Risk or threat assessment? Medical advocacy? Any other services?",191
193,"Q28c. You reported that you sought services from an office or agency that assists victims of crime, but did not receive them. Why did you not receive these services? Was it because… ASSIST_AREA Services were not available in your local area?",192
194,ASSIST_TRANSPORT You did not have a means of transportation to and from the service provider?,193
195,ASSIST_CHILDCARE You did not have childcare to go to get services?,194
