pair_id,model,classification,error
P_0075,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0076,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0077,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0078,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0079,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0080,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0081,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0082,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0083,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0084,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0085,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0086,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0087,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0088,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0089,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0090,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0091,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0092,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0093,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0094,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0095,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0096,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0097,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0098,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0099,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0100,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0102,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0101,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0103,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0104,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0106,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0105,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
P_0107,claude-haiku-4.5,error,"Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-h"
